sex,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,rings
M,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305,12
M,0.605,0.475,0.18,0.9365,0.39399999999999996,0.21899999999999997,0.295,15
F,0.61,0.475,0.14,1.133,0.5275,0.2355,0.35,11
F,0.595,0.455,0.14,0.914,0.3895,0.2225,0.271,9
M,0.41,0.325,0.12,0.3745,0.158,0.081,0.125,12
M,0.58,0.455,0.13,0.852,0.41,0.1725,0.225,8
I,0.25,0.19,0.06,0.0765,0.036000000000000004,0.0115,0.0245,6
I,0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,6
M,0.65,0.525,0.185,1.3455,0.586,0.278,0.3865,9
M,0.645,0.52,0.175,1.636,0.779,0.342,0.43200000000000005,11
I,0.55,0.4,0.135,0.7170000000000001,0.3315,0.1495,0.221,9
I,0.435,0.325,0.1,0.342,0.1335,0.0835,0.105,6
M,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8
I,0.515,0.395,0.125,0.556,0.2695,0.096,0.17,8
M,0.625,0.49,0.165,1.1835,0.517,0.2375,0.39,11
I,0.375,0.285,0.08,0.226,0.0975,0.04,0.0725,7
I,0.235,0.16,0.04,0.048,0.0185,0.018000000000000002,0.015,5
M,0.66,0.515,0.155,1.4415,0.7055,0.3555,0.335,10
F,0.65,0.545,0.165,1.5659999999999998,0.6645,0.3455,0.415,16
I,0.54,0.4,0.145,0.757,0.315,0.18100000000000002,0.215,11
M,0.57,0.45,0.145,0.95,0.4005,0.2235,0.2845,10
I,0.285,0.225,0.07,0.1005,0.0425,0.0185,0.035,7
I,0.185,0.13,0.045,0.028999999999999998,0.012,0.0075,0.0095,4
F,0.565,0.44,0.135,0.83,0.39299999999999996,0.1735,0.23800000000000002,9
M,0.625,0.495,0.175,1.254,0.5815,0.28600000000000003,0.3185,9
F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12
I,0.505,0.385,0.125,0.596,0.245,0.09699999999999999,0.21,9
I,0.315,0.235,0.07,0.149,0.057999999999999996,0.0325,0.047,7
M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
M,0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,4
M,0.74,0.535,0.185,1.65,0.7340000000000001,0.4505,0.335,13
F,0.645,0.5,0.17,1.1845,0.4805,0.27399999999999997,0.355,13
I,0.515,0.4,0.125,0.5925,0.265,0.1175,0.168,9
M,0.69,0.525,0.175,1.7005,0.8255,0.36200000000000004,0.405,8
F,0.68,0.56,0.195,1.7775,0.861,0.322,0.415,11
M,0.665,0.515,0.2,1.2695,0.5115,0.2675,0.436,12
I,0.525,0.375,0.12,0.6315,0.3045,0.114,0.19,9
I,0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445,6
I,0.38,0.285,0.095,0.243,0.0895,0.0665,0.075,7
M,0.575,0.425,0.14,0.8635,0.39299999999999996,0.22699999999999998,0.2,11
M,0.65,0.51,0.16,1.3835,0.6385,0.2905,0.3665,9
F,0.66,0.525,0.19,1.67,0.6525,0.4875,0.49,11
F,0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349,10
I,0.595,0.47,0.135,0.9365,0.434,0.184,0.287,10
I,0.52,0.4,0.13,0.5825,0.233,0.1365,0.18,10
I,0.43,0.34,0.11,0.3645,0.159,0.0855,0.105,7
I,0.315,0.235,0.08,0.18,0.08,0.045,0.047,5
I,0.49,0.375,0.115,0.4615,0.204,0.0945,0.14300000000000002,8
I,0.54,0.425,0.135,0.6859999999999999,0.3475,0.1545,0.213,8
F,0.635,0.535,0.19,1.242,0.5760000000000001,0.2475,0.39,14
I,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,18
M,0.695,0.515,0.175,1.5165,0.578,0.4105,0.39,15
M,0.635,0.525,0.16,1.195,0.5435,0.24600000000000002,0.335,12
M,0.44,0.375,0.13,0.48700000000000004,0.226,0.0965,0.155,9
I,0.495,0.375,0.115,0.5755,0.31,0.1145,0.1395,8
F,0.705,0.55,0.17,1.219,0.6395,0.23600000000000002,0.301,9
I,0.49,0.38,0.12,0.529,0.2165,0.139,0.155,11
M,0.415,0.315,0.125,0.38799999999999996,0.068,0.09,0.125,12
I,0.575,0.475,0.17,0.9670000000000001,0.3775,0.284,0.275,13
F,0.63,0.495,0.19,1.1655,0.536,0.2115,0.1625,10
I,0.475,0.385,0.11,0.5735,0.311,0.1025,0.136,7
M,0.53,0.405,0.13,0.738,0.2845,0.17,0.193,9
M,0.61,0.47,0.155,1.0325,0.49700000000000005,0.2175,0.2785,9
M,0.59,0.46,0.155,0.9059999999999999,0.327,0.1485,0.335,15
I,0.415,0.31,0.095,0.311,0.1125,0.0625,0.115,8
I,0.495,0.385,0.125,0.5125,0.2075,0.1155,0.172,10
I,0.37,0.275,0.14,0.2215,0.09699999999999999,0.0455,0.0615,6
I,0.435,0.33,0.11,0.413,0.2055,0.096,0.096,6
M,0.59,0.475,0.155,0.857,0.35600000000000004,0.174,0.28,13
M,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,8
M,0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135,10
I,0.48,0.355,0.115,0.5785,0.25,0.106,0.184,8
F,0.68,0.55,0.175,1.473,0.713,0.282,0.4295,11
I,0.31,0.215,0.075,0.1275,0.0565,0.0275,0.036000000000000004,7
I,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013000000000000001,4
I,0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,7
M,0.66,0.525,0.18,1.4780000000000002,0.5815,0.381,0.37200000000000005,10
M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15
M,0.65,0.525,0.175,1.4715,0.675,0.315,0.39899999999999997,11
I,0.3,0.23,0.095,0.1385,0.055999999999999994,0.0365,0.037000000000000005,6
F,0.52,0.41,0.125,0.6985,0.2945,0.1625,0.215,10
M,0.65,0.505,0.17,1.5595,0.695,0.3515,0.395,11
M,0.415,0.32,0.1,0.3005,0.1215,0.0575,0.10400000000000001,11
F,0.485,0.38,0.15,0.605,0.2155,0.14,0.18,15
M,0.58,0.43,0.125,0.9115,0.446,0.2075,0.121,10
F,0.72,0.525,0.18,1.445,0.631,0.3215,0.435,7
I,0.395,0.31,0.095,0.313,0.131,0.07200000000000001,0.09300000000000001,7
I,0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235,12
I,0.47,0.385,0.13,0.5870000000000001,0.264,0.11699999999999999,0.174,8
M,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9
F,0.745,0.57,0.215,2.25,1.1565,0.446,0.5579999999999999,9
M,0.66,0.51,0.165,1.6375,0.7685,0.3545,0.3925,14
I,0.44,0.31,0.115,0.3625,0.134,0.08199999999999999,0.12,11
I,0.525,0.405,0.15,0.795,0.3075,0.205,0.255,14
I,0.375,0.29,0.095,0.2875,0.12300000000000001,0.0605,0.08,6
F,0.49,0.385,0.15,0.7865,0.24100000000000002,0.14,0.24,23
I,0.36,0.265,0.085,0.1865,0.0675,0.037000000000000005,0.0615,7
M,0.35,0.265,0.11,0.2965,0.1365,0.063,0.085,7
I,0.63,0.475,0.145,1.0605,0.5165,0.2195,0.28,10
I,0.275,0.2,0.075,0.086,0.0305,0.019,0.03,7
I,0.24,0.17,0.05,0.0545,0.0205,0.016,0.0155,5
M,0.6,0.46,0.15,1.247,0.5335,0.2735,0.29,9
I,0.485,0.375,0.13,0.5535,0.266,0.11199999999999999,0.157,8
I,0.13,0.1,0.03,0.013000000000000001,0.0045,0.003,0.004,3
M,0.665,0.52,0.175,1.3725,0.606,0.32,0.395,12
M,0.595,0.465,0.15,0.919,0.4335,0.1765,0.262,9
F,0.625,0.48,0.155,1.2035,0.5865,0.239,0.3185,12
M,0.73,0.575,0.21,2.069,0.9285,0.409,0.643,11
I,0.375,0.285,0.1,0.239,0.105,0.0555,0.07,8
M,0.52,0.4,0.125,0.5589999999999999,0.254,0.139,0.149,8
F,0.57,0.45,0.135,0.7805,0.3345,0.185,0.21,8
M,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115,8
I,0.33,0.26,0.085,0.1965,0.0915,0.0425,0.055,7
M,0.595,0.47,0.165,1.1079999999999999,0.4915,0.2325,0.3345,9
M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10
I,0.435,0.33,0.105,0.335,0.156,0.0555,0.105,8
M,0.59,0.465,0.135,0.9895,0.4235,0.19899999999999998,0.28,8
M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
M,0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,7
F,0.705,0.545,0.18,1.5395,0.6075,0.3675,0.4645,13
I,0.405,0.315,0.105,0.34700000000000003,0.1605,0.0785,0.1,9
I,0.43,0.34,0.125,0.384,0.1375,0.061,0.146,14
I,0.375,0.29,0.095,0.213,0.096,0.040999999999999995,0.061,5
F,0.61,0.48,0.175,1.0675,0.391,0.21600000000000003,0.42,15
I,0.42,0.325,0.115,0.354,0.1625,0.064,0.105,8
F,0.4,0.335,0.115,0.4335,0.2105,0.1205,0.12,10
I,0.505,0.39,0.15,0.685,0.36200000000000004,0.131,0.156,8
M,0.63,0.51,0.175,1.3415,0.6575,0.262,0.375,10
M,0.52,0.395,0.125,0.5815,0.2565,0.1265,0.17,10
I,0.56,0.44,0.14,0.825,0.402,0.139,0.245,10
M,0.58,0.47,0.165,0.927,0.3215,0.1985,0.315,11
I,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,6
M,0.66,0.505,0.165,1.374,0.589,0.35100000000000003,0.345,10
F,0.67,0.545,0.175,1.7069999999999999,0.6995,0.387,0.575,13
I,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,6
I,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,6
I,0.475,0.375,0.11,0.494,0.21100000000000002,0.109,0.1545,8
M,0.605,0.49,0.165,1.1245,0.49200000000000005,0.222,0.3555,11
I,0.355,0.28,0.1,0.2275,0.0935,0.0455,0.085,11
I,0.325,0.245,0.075,0.1495,0.0605,0.033,0.045,5
M,0.645,0.5,0.16,1.3815,0.672,0.326,0.315,9
I,0.35,0.26,0.095,0.21100000000000002,0.086,0.055999999999999994,0.068,7
I,0.44,0.345,0.1,0.366,0.122,0.0905,0.12,13
I,0.42,0.31,0.095,0.27899999999999997,0.1255,0.051,0.08800000000000001,6
I,0.365,0.27,0.085,0.19699999999999998,0.0815,0.0325,0.065,6
I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,4
F,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12
I,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,5
I,0.38,0.3,0.09,0.27699999999999997,0.1655,0.0625,0.08199999999999999,6
I,0.44,0.335,0.11,0.3885,0.175,0.0835,0.111,7
F,0.725,0.6,0.2,1.7369999999999999,0.6970000000000001,0.3585,0.595,11
F,0.705,0.56,0.205,2.381,0.9915,0.5005,0.624,10
M,0.46,0.36,0.125,0.547,0.2165,0.1105,0.19,8
I,0.44,0.355,0.165,0.435,0.159,0.105,0.14,16
M,0.6,0.495,0.185,1.1145,0.5055,0.2635,0.36700000000000005,11
F,0.515,0.375,0.11,0.6065,0.3005,0.131,0.15,6
M,0.55,0.435,0.14,0.7625,0.327,0.1685,0.259,10
I,0.36,0.25,0.115,0.465,0.21,0.1055,0.128,7
F,0.43,0.34,0.11,0.382,0.154,0.0955,0.109,8
M,0.32,0.24,0.085,0.17,0.0655,0.047,0.049,7
M,0.155,0.115,0.025,0.024,0.009000000000000001,0.005,0.0075,5
I,0.315,0.23,0.07,0.14400000000000002,0.053,0.0305,0.04,8
F,0.545,0.415,0.2,1.358,0.5670000000000001,0.318,0.40299999999999997,10
I,0.58,0.435,0.15,0.8915,0.363,0.1925,0.2515,6
F,0.48,0.375,0.105,0.525,0.2185,0.1195,0.155,12
M,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11
F,0.67,0.585,0.16,1.3090000000000002,0.5445,0.2945,0.413,10
I,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,4
F,0.625,0.515,0.155,1.1635,0.4875,0.259,0.355,11
I,0.35,0.235,0.08,0.17,0.0725,0.0465,0.0495,7
M,0.705,0.56,0.165,1.675,0.797,0.4095,0.38799999999999996,10
F,0.49,0.37,0.105,0.5265,0.249,0.1005,0.14800000000000002,7
M,0.65,0.51,0.155,1.4069999999999998,0.7215,0.298,0.335,9
M,0.36,0.27,0.09,0.2225,0.083,0.053,0.075,6
M,0.64,0.505,0.18,1.297,0.59,0.3125,0.363,11
I,0.475,0.365,0.14,0.4545,0.171,0.11800000000000001,0.158,8
M,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,18
I,0.45,0.35,0.11,0.514,0.253,0.1045,0.14,8
M,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,19
M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12
F,0.44,0.355,0.115,0.415,0.1585,0.0925,0.131,11
I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5
M,0.52,0.4,0.12,0.58,0.23399999999999999,0.1315,0.185,8
I,0.31,0.235,0.09,0.127,0.048,0.031,0.04,6
M,0.5,0.38,0.155,0.66,0.2655,0.1365,0.215,19
I,0.47,0.355,0.12,0.4915,0.1765,0.1125,0.1325,9
I,0.44,0.355,0.12,0.495,0.231,0.11,0.125,7
M,0.62,0.475,0.185,1.325,0.6045,0.325,0.33,13
I,0.5,0.38,0.11,0.494,0.218,0.09,0.1325,7
I,0.375,0.275,0.09,0.218,0.09300000000000001,0.0405,0.0755,6
M,0.38,0.29,0.12,0.28300000000000003,0.1175,0.0655,0.085,9
M,0.62,0.465,0.145,0.9109999999999999,0.375,0.2145,0.278,10
F,0.61,0.46,0.155,0.9570000000000001,0.4255,0.1975,0.265,8
I,0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,6
M,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16
I,0.53,0.395,0.125,0.6235,0.2975,0.10800000000000001,0.195,11
F,0.58,0.445,0.15,0.858,0.4,0.156,0.253,8
F,0.44,0.34,0.14,0.48200000000000004,0.18600000000000003,0.1085,0.16,9
F,0.67,0.525,0.195,1.42,0.573,0.368,0.3905,10
I,0.295,0.215,0.07,0.121,0.047,0.0155,0.0405,6
I,0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032,8
M,0.385,0.295,0.095,0.335,0.147,0.094,0.09,7
M,0.59,0.455,0.145,1.073,0.475,0.19,0.285,14
I,0.43,0.315,0.095,0.37799999999999995,0.175,0.08,0.1045,8
M,0.475,0.375,0.125,0.593,0.27699999999999997,0.115,0.18,10
F,0.45,0.325,0.135,0.43799999999999994,0.1805,0.1165,0.11,9
I,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7
F,0.575,0.48,0.15,0.897,0.4235,0.1905,0.248,8
I,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,8
I,0.465,0.345,0.11,0.4415,0.1755,0.0905,0.12,7
M,0.525,0.41,0.13,0.6875,0.3435,0.1495,0.1765,9
M,0.515,0.395,0.135,1.0070000000000001,0.47200000000000003,0.2495,0.252,8
M,0.6,0.48,0.09,1.05,0.457,0.2685,0.28,8
F,0.43,0.35,0.09,0.397,0.1575,0.08900000000000001,0.12,9
M,0.475,0.37,0.125,0.655,0.266,0.1725,0.185,10
M,0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875,8
I,0.325,0.25,0.08,0.17600000000000002,0.0595,0.0355,0.063,7
F,0.625,0.495,0.16,1.234,0.6335,0.192,0.35,13
I,0.2,0.145,0.06,0.037000000000000005,0.0125,0.0095,0.011000000000000001,4
F,0.57,0.495,0.16,1.0915,0.452,0.275,0.315,14
I,0.475,0.375,0.11,0.456,0.182,0.099,0.16,9
F,0.58,0.45,0.195,0.8265,0.4035,0.17300000000000001,0.225,9
F,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,8
M,0.43,0.31,0.13,0.6485,0.2735,0.163,0.184,9
F,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,9
I,0.345,0.285,0.1,0.2225,0.0865,0.057999999999999996,0.075,8
I,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5
I,0.5,0.395,0.145,0.7865,0.332,0.1815,0.2455,8
F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20
M,0.645,0.5,0.175,1.286,0.5645,0.28800000000000003,0.386,12
I,0.165,0.12,0.05,0.021,0.0075,0.0045,0.013999999999999999,3
M,0.63,0.48,0.185,1.21,0.53,0.2555,0.322,11
M,0.5,0.39,0.135,0.6595,0.3145,0.1535,0.1565,6
M,0.7,0.55,0.195,1.6245,0.675,0.34700000000000003,0.535,13
F,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10
M,0.685,0.51,0.165,1.545,0.6859999999999999,0.3775,0.4055,10
F,0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,13
F,0.625,0.42,0.165,1.0595,0.358,0.165,0.445,21
M,0.595,0.455,0.15,1.044,0.518,0.2205,0.27,9
F,0.525,0.405,0.115,0.72,0.3105,0.1915,0.2,14
F,0.37,0.275,0.085,0.2405,0.10400000000000001,0.0535,0.07,5
M,0.625,0.48,0.185,1.2065,0.5870000000000001,0.29,0.28600000000000003,8
F,0.45,0.345,0.115,0.496,0.1905,0.11699999999999999,0.14,12
F,0.56,0.465,0.16,1.0315,0.43200000000000005,0.2025,0.337,9
M,0.47,0.365,0.12,0.612,0.327,0.15,0.14,8
I,0.43,0.32,0.1,0.3465,0.1635,0.08,0.09,7
I,0.515,0.39,0.125,0.5705,0.23800000000000002,0.1265,0.185,8
M,0.53,0.44,0.205,0.835,0.32,0.2175,0.245,14
M,0.595,0.5,0.165,1.06,0.402,0.28,0.275,11
F,0.51,0.34,0.18,0.7005,0.312,0.165,0.2,11
F,0.585,0.465,0.14,0.9079999999999999,0.381,0.1615,0.315,13
M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9
M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15
M,0.635,0.495,0.15,1.081,0.4825,0.242,0.31,11
M,0.6,0.41,0.145,0.9390000000000001,0.4475,0.196,0.268,8
M,0.625,0.47,0.15,1.124,0.556,0.2315,0.287,9
I,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115,9
M,0.67,0.525,0.18,1.4915,0.728,0.34299999999999997,0.381,9
I,0.45,0.36,0.13,0.478,0.191,0.127,0.13699999999999998,7
F,0.675,0.535,0.185,1.5575,0.7035,0.402,0.4,11
F,0.69,0.525,0.19,1.492,0.6425,0.3905,0.42,12
I,0.335,0.255,0.08,0.168,0.079,0.0355,0.05,5
M,0.67,0.525,0.18,1.6615,0.8005,0.3645,0.43,10
M,0.565,0.415,0.125,0.667,0.302,0.1545,0.185,7
F,0.44,0.34,0.105,0.364,0.14800000000000002,0.0805,0.1175,8
F,0.675,0.57,0.225,1.587,0.7390000000000001,0.2995,0.435,10
I,0.605,0.495,0.145,1.054,0.369,0.2255,0.36,12
I,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12,13
M,0.68,0.535,0.185,1.607,0.7245,0.3215,0.498,12
I,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,4
F,0.72,0.58,0.195,2.103,1.0265,0.48,0.5375,10
M,0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008,4
M,0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39,10
M,0.445,0.32,0.12,0.414,0.19899999999999998,0.09,0.11699999999999999,7
M,0.58,0.45,0.14,0.8240000000000001,0.3465,0.1765,0.263,10
I,0.35,0.265,0.11,0.209,0.066,0.059000000000000004,0.075,9
F,0.52,0.41,0.155,0.727,0.29100000000000004,0.1835,0.235,12
F,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,12
M,0.52,0.4,0.12,0.823,0.298,0.1805,0.265,15
M,0.72,0.575,0.215,2.173,0.9515,0.564,0.5365,12
F,0.66,0.52,0.2,1.676,0.6729999999999999,0.4805,0.45,17
I,0.28,0.205,0.055,0.1135,0.045,0.0275,0.0335,7
F,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,20
F,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,19
I,0.36,0.275,0.075,0.2205,0.0985,0.044000000000000004,0.066,7
M,0.535,0.405,0.14,0.818,0.402,0.1715,0.18899999999999997,7
I,0.19,0.13,0.03,0.0295,0.0155,0.015,0.01,6
F,0.595,0.465,0.15,1.0765,0.491,0.22,0.287,9
M,0.585,0.46,0.15,1.206,0.581,0.21600000000000003,0.32299999999999995,10
F,0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4,12
M,0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7
F,0.65,0.5,0.185,1.4415,0.741,0.2955,0.341,9
M,0.48,0.38,0.135,0.528,0.2,0.1395,0.16,14
M,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39,18
F,0.53,0.4,0.165,0.772,0.2855,0.1975,0.23,12
F,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,8
I,0.335,0.255,0.085,0.1785,0.071,0.0405,0.055,9
I,0.4,0.29,0.1,0.258,0.10400000000000001,0.059000000000000004,0.0815,7
F,0.575,0.425,0.15,0.8765,0.455,0.18,0.228,8
F,0.46,0.365,0.115,0.4485,0.165,0.083,0.17,14
F,0.465,0.36,0.12,0.4765,0.192,0.1125,0.16,10
M,0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015,4
I,0.33,0.23,0.085,0.1695,0.079,0.026000000000000002,0.0505,6
M,0.535,0.44,0.15,0.6765,0.256,0.139,0.26,12
M,0.64,0.495,0.165,1.307,0.6779999999999999,0.292,0.266,11
I,0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125,8
I,0.425,0.34,0.105,0.389,0.2015,0.0905,0.08800000000000001,6
F,0.43,0.335,0.12,0.444,0.155,0.1145,0.14,13
F,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295,9
M,0.545,0.42,0.12,0.7865,0.40299999999999997,0.185,0.17,7
F,0.435,0.35,0.125,0.45899999999999996,0.19699999999999998,0.1145,0.145,9
M,0.525,0.42,0.155,0.8420000000000001,0.428,0.1415,0.2045,9
F,0.42,0.32,0.13,0.4135,0.1645,0.106,0.11900000000000001,10
I,0.415,0.315,0.105,0.33,0.1405,0.0705,0.095,6
I,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,17
I,0.535,0.455,0.14,1.0015,0.53,0.1765,0.244,9
I,0.32,0.235,0.09,0.183,0.098,0.0335,0.042,7
I,0.205,0.14,0.05,0.046,0.0165,0.012,0.0135,6
I,0.525,0.43,0.15,0.7365,0.3225,0.161,0.215,11
F,0.49,0.385,0.16,0.6559999999999999,0.2455,0.171,0.205,9
M,0.67,0.54,0.175,1.482,0.7390000000000001,0.2925,0.365,10
M,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,11
M,0.63,0.49,0.16,1.09,0.40700000000000003,0.22399999999999998,0.354,12
F,0.7,0.555,0.22,1.666,0.647,0.4285,0.455,11
M,0.62,0.47,0.15,1.3090000000000002,0.5870000000000001,0.4405,0.325,9
M,0.58,0.45,0.12,0.8685,0.418,0.1475,0.2605,8
M,0.64,0.49,0.14,1.194,0.4445,0.23800000000000002,0.375,15
F,0.425,0.35,0.1,0.4425,0.175,0.0755,0.175,7
M,0.66,0.51,0.18,1.261,0.5,0.2335,0.33899999999999997,10
I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3
F,0.57,0.44,0.19,1.018,0.447,0.207,0.265,9
I,0.435,0.325,0.11,0.36700000000000005,0.1595,0.08,0.105,6
F,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,19
M,0.475,0.355,0.125,0.4625,0.18600000000000003,0.107,0.145,9
F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11
M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9
F,0.66,0.475,0.18,1.3695,0.6409999999999999,0.294,0.335,6
I,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5
F,0.5,0.44,0.155,0.742,0.2025,0.2005,0.2115,14
M,0.34,0.265,0.085,0.1835,0.077,0.046,0.065,10
I,0.38,0.275,0.095,0.2425,0.106,0.0485,0.21,6
I,0.255,0.195,0.055,0.0725,0.0285,0.017,0.021,4
I,0.3,0.22,0.065,0.1195,0.052000000000000005,0.0155,0.035,5
F,0.655,0.515,0.155,1.3090000000000002,0.524,0.34600000000000003,0.385,11
I,0.545,0.42,0.165,0.8935,0.4235,0.2195,0.228,8
M,0.565,0.455,0.155,0.9355,0.42100000000000004,0.183,0.26,11
F,0.525,0.425,0.145,0.7995,0.3345,0.209,0.24,15
M,0.72,0.55,0.205,2.165,1.1055,0.525,0.40399999999999997,10
