,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
263,1.0,0.39,0.3,0.1,0.2665,0.1105,0.059,0.084,8.174388849150763,7
270,1.0,0.335,0.26,0.09,0.1835,0.078,0.024,0.065,7.664165854636515,11
294,1.0,0.38,0.275,0.11,0.256,0.11,0.0535,0.0755,7.664001193518596,6
301,1.0,0.285,0.215,0.06,0.0935,0.031,0.023,0.03,5.943969731280679,6
312,1.0,0.185,0.135,0.04,0.027,0.0105,0.0055,0.009,4.2235154136162025,5
326,1.0,0.29,0.215,0.065,0.0985,0.0425,0.021,0.031,5.693321799536097,5
329,1.0,0.38,0.27,0.095,0.2189999999999999,0.0835,0.0515,0.07,7.699136733809908,6
334,1.0,0.27,0.195,0.08,0.1,0.0385,0.0195,0.03,5.949815279969875,6
356,1.0,0.395,0.295,0.095,0.2245,0.078,0.054,0.08,8.674499781353484,10
365,1.0,0.38,0.29,0.085,0.2285,0.088,0.0465,0.075,8.02248476191977,7
390,1.0,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,7.324483239688766,8
392,1.0,0.315,0.23,0.09,0.1285,0.043,0.04,0.04,6.730026121359404,7
396,1.0,0.45,0.34,0.095,0.3245,0.1385,0.064,0.105,8.788144639448173,8
397,1.0,0.285,0.215,0.075,0.106,0.0415,0.023,0.035,6.187668343029756,5
400,1.0,0.41,0.315,0.1,0.3,0.124,0.0575,0.1,8.87729755149046,8
405,1.0,0.175,0.135,0.04,0.0305,0.011,0.0075,0.01,4.305587839783191,5
411,1.0,0.355,0.285,0.095,0.2275,0.0955,0.0475,0.0715,7.787469082703898,6
416,1.0,0.385,0.28,0.095,0.257,0.119,0.059,0.07,6.746870995385031,7
417,1.0,0.21,0.15,0.055,0.0465,0.017,0.012,0.015,4.757686166813421,5
424,1.0,0.31,0.22,0.085,0.146,0.061,0.0365,0.045,6.267553697126654,6
447,1.0,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,8.492225036615208,7
453,1.0,0.345,0.27,0.095,0.1969999999999999,0.0665,0.05,0.07,8.301920054602903,9
466,1.0,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,8.730318018729266,9
492,1.0,0.34,0.25,0.075,0.1765,0.0785,0.0405,0.05,6.19161894302143,7
500,1.0,0.3,0.22,0.065,0.1235,0.059,0.026,0.0315,5.306826874339757,5
509,1.0,0.38,0.285,0.085,0.237,0.115,0.0405,0.07,6.848240832230251,6
524,1.0,0.34,0.265,0.07,0.185,0.0625,0.0395,0.07,7.932201501947913,7
529,1.0,0.305,0.215,0.065,0.1075,0.044,0.0205,0.038,5.9798451243396435,5
530,1.0,0.26,0.205,0.07,0.0969999999999999,0.0415,0.019,0.0305,5.818712270272498,4
547,1.0,0.385,0.29,0.1,0.2575,0.1,0.061,0.086,8.41706121302907,6
548,1.0,0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745,7.355782137382741,9
554,1.0,0.26,0.215,0.08,0.099,0.037,0.0255,0.045,6.89162315604322,5
558,1.0,0.355,0.265,0.085,0.201,0.069,0.053,0.0695,7.863116427803748,8
561,1.0,0.23,0.18,0.05,0.064,0.0215,0.0135,0.02,5.229722965497623,5
562,1.0,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,6.401140452313985,9
581,1.0,0.34,0.255,0.075,0.18,0.0745,0.04,0.0525,6.583180145260728,6
597,1.0,0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,8.233066138919222,7
603,1.0,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,5.121514051436521,4
607,1.0,0.26,0.19,0.075,0.0945,0.0445,0.02,0.03,5.509425769037863,6
611,1.0,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,8.296446183535432,7
612,1.0,0.31,0.225,0.075,0.155,0.065,0.037,0.0365,5.719181046807973,6
616,1.0,0.32,0.205,0.08,0.181,0.088,0.034,0.0495,5.4755388883601865,5
621,1.0,0.3,0.22,0.08,0.1255,0.055,0.0265,0.039,6.103442548478873,6
622,1.0,0.205,0.155,0.045,0.0495,0.0235,0.011,0.0139999999999999,4.405198628060188,3
625,1.0,0.33,0.25,0.09,0.1969999999999999,0.085,0.0409999999999999,0.0605,6.968789578659929,10
628,1.0,0.405,0.305,0.1,0.268,0.1145,0.053,0.085,8.170361061238758,7
631,1.0,0.29,0.215,0.06,0.1115,0.053,0.0185,0.032,5.413007837303962,5
637,1.0,0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945,8.859391317991733,8
652,1.0,0.265,0.205,0.07,0.1055,0.039,0.0409999999999999,0.035,5.852493843683289,5
653,1.0,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,5.855058674654822,7
662,1.0,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,6.46642598976182,6
663,1.0,0.375,0.3,0.1,0.2465,0.104,0.0475,0.083,8.397206239296155,11
665,1.0,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045,6.752515758834815,7
670,1.0,0.345,0.255,0.1,0.1969999999999999,0.071,0.051,0.06,7.554900665210607,9
678,1.0,0.155,0.105,0.05,0.0175,0.005,0.0035,0.005,4.08611652720593,4
683,1.0,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057,7.205210935012087,8
684,1.0,0.3,0.235,0.08,0.131,0.05,0.0265,0.043,6.7634428914062,4
686,1.0,0.215,0.17,0.055,0.0605,0.0205,0.0139999999999999,0.02,5.242554141758033,6
691,1.0,0.22,0.16,0.05,0.049,0.0215,0.01,0.015,4.639333618252809,4
708,1.0,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,8.283175980366762,10
713,1.0,0.37,0.28,0.105,0.2339999999999999,0.0905,0.0585,0.075,8.101078263012292,9
715,1.0,0.275,0.195,0.065,0.106,0.054,0.02,0.0279999999999999,4.986828483535839,6
716,1.0,0.385,0.28,0.085,0.2175,0.0969999999999999,0.038,0.067,7.144598117170775,8
735,1.0,0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,6.512376320030837,5
739,1.0,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,5.539394501244269,5
741,1.0,0.29,0.21,0.07,0.1115,0.048,0.0205,0.03,5.621322536333365,5
743,1.0,0.28,0.21,0.08,0.1085,0.0409999999999999,0.0265,0.0345,6.211902355782857,7
745,1.0,0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07,7.9239125719376835,7
749,1.0,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725,7.102690518494062,12
756,1.0,0.39,0.285,0.095,0.271,0.11,0.06,0.08,7.741673895415635,8
768,1.0,0.295,0.215,0.075,0.1159999999999999,0.037,0.0295,0.04,6.556594302726915,8
774,1.0,0.14,0.105,0.035,0.0139999999999999,0.0055,0.0025,0.004,3.769540513647787,3
791,1.0,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,7.302082796391075,10
801,1.0,0.31,0.235,0.06,0.12,0.0415,0.033,0.04,6.296864230316266,11
806,1.0,0.31,0.245,0.095,0.15,0.0525,0.034,0.048,7.390905434369243,7
816,1.0,0.345,0.255,0.095,0.1945,0.0925,0.037,0.055,6.565101189950532,6
817,1.0,0.255,0.185,0.07,0.075,0.0279999999999999,0.018,0.025,5.600311319795256,6
839,1.0,0.385,0.285,0.085,0.244,0.1215,0.0445,0.068,6.501628624793376,8
842,1.0,0.365,0.27,0.075,0.2215,0.095,0.0445,0.07,7.051088217344876,6
845,1.0,0.35,0.265,0.085,0.1735,0.0775,0.034,0.0559999999999999,6.9251483460032786,6
856,1.0,0.39,0.31,0.105,0.2665,0.1185,0.0525,0.081,8.071833013403662,8
865,1.0,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006,3.583993928159197,4
877,1.0,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7.214525128377009,7
884,1.0,0.335,0.25,0.075,0.186,0.0945,0.038,0.0445,5.49216328048987,7
887,1.0,0.295,0.215,0.085,0.128,0.049,0.034,0.04,6.350760304620356,6
888,1.0,0.36,0.27,0.085,0.196,0.0905,0.034,0.053,6.575256600507636,7
889,1.0,0.24,0.18,0.055,0.0555,0.0235,0.013,0.018,5.019835105919275,4
891,1.0,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7.152876537007343,7
892,1.0,0.405,0.305,0.09,0.2825,0.114,0.0575,0.095,8.528366775727092,7
894,1.0,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,6.762993808159432,6
895,1.0,0.335,0.24,0.095,0.17,0.062,0.039,0.055,7.2847271133117095,9
898,1.0,0.46,0.35,0.105,0.3705,0.1575,0.077,0.114,9.070605286408464,9
906,1.0,0.345,0.265,0.1,0.2455,0.111,0.0535,0.065,6.865590443284097,7
909,1.0,0.375,0.275,0.095,0.2295,0.095,0.0545,0.066,7.245401135638793,7
914,1.0,0.355,0.27,0.1,0.216,0.083,0.037,0.075,8.338880141390433,10
934,1.0,0.41,0.315,0.095,0.306,0.121,0.0735,0.09,8.294969317486157,9
937,1.0,0.37,0.275,0.1,0.22,0.094,0.045,0.065,7.396452050369066,7
941,1.0,0.37,0.29,0.095,0.249,0.1045,0.0579999999999999,0.067,7.335596919653505,6
942,1.0,0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775,7.794594733601864,7
946,1.0,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,5.883314033464238,6
952,1.0,0.195,0.145,0.05,0.032,0.01,0.008,0.012,4.6929555298127665,4
959,1.0,0.345,0.27,0.11,0.2135,0.0819999999999999,0.0545,0.07,8.109786669468145,7
976,1.0,0.355,0.26,0.09,0.1925,0.077,0.038,0.065,7.502857833153501,8
986,1.0,0.35,0.26,0.09,0.198,0.0725,0.0559999999999999,0.06,7.281388425802437,10
987,1.0,0.32,0.24,0.09,0.1575,0.07,0.0265,0.0425,6.440097956819583,5
990,1.0,0.32,0.25,0.08,0.1565,0.057,0.034,0.06,7.5336562475018125,9
992,1.0,0.29,0.21,0.065,0.0969999999999999,0.0375,0.022,0.03,5.743351906120892,6
995,1.0,0.35,0.265,0.08,0.192,0.081,0.0465,0.053,6.5890133629586005,6
1004,1.0,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6.109919575879835,6
1009,1.0,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,6.840165870549391,5
1013,1.0,0.325,0.23,0.09,0.147,0.06,0.034,0.045,6.533716826911013,4
1016,1.0,0.35,0.265,0.09,0.1969999999999999,0.073,0.0365,0.077,8.35375294676206,7
1017,1.0,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,6.232819423886274,5
1020,1.0,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005,3.442753605783572,4
1027,1.0,0.385,0.28,0.1,0.2755,0.1305,0.061,0.0725,6.6868115110147865,8
1030,1.0,0.375,0.285,0.09,0.257,0.1045,0.062,0.075,7.5181721100433325,7
1047,1.0,0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,8.014772513431469,9
1063,1.0,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,5.352587074042966,4
1066,1.0,0.29,0.205,0.07,0.0975,0.036,0.019,0.035,6.096079359079878,8
1094,1.0,0.41,0.3,0.1,0.301,0.124,0.069,0.09,8.061581903105623,9
1096,1.0,0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,6.628726117863304,7
1097,1.0,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6.920553352186241,6
1114,1.0,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06,6.353891247108448,13
1130,1.0,0.34,0.255,0.095,0.213,0.081,0.034,0.07,7.964978959475821,9
1151,1.0,0.38,0.275,0.095,0.2505,0.0945,0.0655,0.075,7.713939150410172,6
1152,1.0,0.32,0.23,0.06,0.129,0.0615,0.0275,0.0355,5.3754556132402715,7
1190,1.0,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065,7.25125956670678,8
1206,1.0,0.36,0.27,0.09,0.2075,0.098,0.039,0.062,6.823260913303534,6
1237,1.0,0.215,0.15,0.055,0.0409999999999999,0.015,0.009,0.0125,4.686109610025281,3
1242,1.0,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875,7.931219983811735,12
1249,1.0,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,5.867367108248239,5
1259,1.0,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,8.182544087128008,10
1263,1.0,0.27,0.2,0.08,0.1205,0.0465,0.0279999999999999,0.04,6.250644389436693,6
1272,1.0,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025,5.6140468630024225,5
1289,1.0,0.245,0.205,0.06,0.0765,0.034,0.0139999999999999,0.0215,5.4332473896692335,4
1299,1.0,0.47,0.355,0.12,0.3929999999999999,0.1669999999999999,0.0885,0.115,9.153020798238382,8
1305,1.0,0.28,0.21,0.065,0.0905,0.035,0.02,0.03,5.84277143983983,5
1312,1.0,0.26,0.2,0.07,0.092,0.037,0.02,0.03,5.827635645772353,6
1313,1.0,0.29,0.225,0.07,0.1009999999999999,0.036,0.0235,0.035,6.36392717072302,8
1329,1.0,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,5.062994520782694,5
1337,1.0,0.325,0.25,0.075,0.1585,0.075,0.0305,0.0455,6.145104322647591,6
1341,1.0,0.375,0.265,0.095,0.196,0.085,0.042,0.0585,6.96203929259253,5
1347,1.0,0.23,0.165,0.06,0.0515,0.019,0.0145,0.036,5.827104105439265,4
1355,1.0,0.255,0.185,0.065,0.074,0.0305,0.0165,0.02,5.197165570167335,4
1361,1.0,0.435,0.335,0.1,0.3245,0.135,0.0785,0.098,8.500801494981982,7
1366,1.0,0.16,0.11,0.025,0.018,0.0065,0.0055,0.005,3.555158608219384,3
1379,1.0,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,8.7010507521276,9
1392,1.0,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,6.140386859338551,6
1394,1.0,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765,7.245869082128026,5
1399,1.0,0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5.307412973374131,5
1404,1.0,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068,8.266274254742942,12
1406,1.0,0.375,0.27,0.085,0.218,0.0945,0.039,0.07,7.264361841585279,7
1410,1.0,0.37,0.29,0.09,0.241,0.11,0.045,0.069,7.205163236291172,10
1411,1.0,0.35,0.27,0.075,0.215,0.1,0.036,0.065,6.759246913029771,6
1419,1.0,0.405,0.31,0.12,0.3095,0.138,0.0579999999999999,0.095,8.556346029030028,13
1424,1.0,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,7.694773074753952,6
1425,1.0,0.21,0.17,0.045,0.0475,0.019,0.011,0.013,4.7155107237640745,5
1429,1.0,0.415,0.31,0.11,0.2965,0.123,0.057,0.0995,8.962069345928395,10
1433,1.0,0.36,0.265,0.09,0.2165,0.096,0.037,0.0735,7.4639064894365745,10
1440,1.0,0.33,0.23,0.08,0.14,0.0565,0.0365,0.046,6.37108770486576,7
1442,1.0,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01,4.254190795107863,5
1454,1.0,0.315,0.235,0.075,0.1485,0.0585,0.0375,0.0425,6.27418139493577,6
1460,1.0,0.27,0.205,0.075,0.118,0.059,0.031,0.0305,5.239637816391034,4
1479,1.0,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,4.121766500888345,3
1480,1.0,0.205,0.15,0.065,0.04,0.02,0.011,0.013,4.71013837825547,4
1504,1.0,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,3.5220409497888063,2
1511,1.0,0.335,0.25,0.08,0.1669999999999999,0.0675,0.0325,0.0575,7.0852431946879655,6
1512,1.0,0.255,0.18,0.065,0.079,0.034,0.0139999999999999,0.025,5.297368895176528,5
1519,1.0,0.27,0.195,0.07,0.106,0.0465,0.018,0.036,5.784677705799824,7
1521,1.0,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,6.778771256162832,8
1526,1.0,0.2,0.145,0.025,0.0345,0.011,0.0075,0.01,4.085322045956599,5
1530,1.0,0.425,0.33,0.115,0.3265,0.1315,0.077,0.103,9.17462273942338,6
1544,1.0,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,7.403733482005556,7
1553,1.0,0.255,0.195,0.07,0.0735,0.0255,0.02,0.025,5.798734711233968,6
1567,1.0,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,6.165966768707527,6
1572,1.0,0.25,0.185,0.065,0.0685,0.0295,0.0139999999999999,0.0225,5.340014620568789,5
1575,1.0,0.35,0.265,0.08,0.2,0.09,0.042,0.06,6.695763717408035,7
1588,1.0,0.245,0.175,0.055,0.0785,0.04,0.018,0.02,4.549827410408721,5
1593,1.0,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,7.451031712921375,8
1594,1.0,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,7.516127678108635,6
1597,1.0,0.33,0.26,0.08,0.2,0.0625,0.05,0.07,8.12483089587917,9
1601,1.0,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,4.527503331604318,5
1603,1.0,0.37,0.29,0.115,0.25,0.111,0.057,0.075,7.843218534427212,9
1615,1.0,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,5.325742924454512,5
1625,1.0,0.195,0.15,0.045,0.0375,0.018,0.006,0.011,4.401677509164579,3
1627,1.0,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,6.461872807369833,5
1628,1.0,0.32,0.24,0.07,0.133,0.0585,0.0255,0.0409999999999999,6.157111495807106,6
1631,1.0,0.33,0.25,0.075,0.1405,0.0559999999999999,0.035,0.05,6.787615341839339,5
1634,1.0,0.255,0.195,0.065,0.08,0.0315,0.018,0.027,5.6549180864581166,8
1636,1.0,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,6.142995907178688,5
1647,1.0,0.28,0.215,0.08,0.132,0.072,0.022,0.033,5.334312889432095,5
1651,1.0,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,8.368295445311999,13
1657,1.0,0.28,0.205,0.08,0.127,0.052,0.039,0.042,6.05182093265296,9
1661,1.0,0.17,0.13,0.095,0.03,0.013,0.008,0.01,5.253036184518289,4
1665,1.0,0.385,0.29,0.085,0.2505,0.1119999999999999,0.061,0.08,7.295875472355872,8
1689,1.0,0.35,0.26,0.095,0.221,0.0985,0.043,0.07,7.248584787790604,8
1690,1.0,0.17,0.125,0.055,0.0235,0.009,0.0055,0.008,4.419558173863953,6
1694,1.0,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7.8086737703162905,7
1716,1.0,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6.627651201185167,6
1720,1.0,0.365,0.27,0.105,0.2155,0.0915,0.0475,0.063,7.366703767663318,6
1727,1.0,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042,6.393701609255336,6
1733,1.0,0.29,0.225,0.08,0.1295,0.0535,0.026,0.045,6.598698993259594,10
1755,1.0,0.21,0.15,0.045,0.04,0.0135,0.008,0.0105,4.488866878145604,4
1774,1.0,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,6.021157597057326,6
1775,1.0,0.38,0.28,0.085,0.2735,0.115,0.061,0.085,7.546439350757156,6
1790,1.0,0.37,0.275,0.09,0.2065,0.096,0.0395,0.0579999999999999,6.737942905808153,7
1822,1.0,0.33,0.26,0.08,0.19,0.0765,0.0385,0.065,7.404975116758657,7
1825,1.0,0.375,0.28,0.08,0.226,0.105,0.047,0.065,6.6509782682722625,6
1828,1.0,0.39,0.3,0.09,0.252,0.1065,0.053,0.08,7.880659357767281,7
1854,1.0,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,6.7543773586095535,11
1856,1.0,0.275,0.2,0.065,0.092,0.0385,0.0235,0.027,5.414338170069576,5
1863,1.0,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,5.099572210177658,4
1867,1.0,0.28,0.21,0.075,0.1195,0.053,0.0265,0.03,5.572397158190496,6
1875,1.0,0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,5.3186392605677115,6
1878,1.0,0.355,0.275,0.09,0.251,0.0969999999999999,0.053,0.08,8.046783361281893,7
1879,1.0,0.27,0.19,0.08,0.081,0.0265,0.0195,0.03,6.125898798735063,6
1900,1.0,0.355,0.27,0.075,0.1775,0.079,0.0315,0.054,6.717866569303881,6
1914,1.0,0.435,0.335,0.11,0.3339999999999999,0.1355,0.0775,0.0965,8.745681550489655,7
1923,1.0,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835,8.096129961274134,9
1934,1.0,0.385,0.305,0.095,0.252,0.0915,0.055,0.09,9.07686556177855,14
1946,1.0,0.295,0.23,0.085,0.125,0.042,0.0285,0.043,7.029413550275645,8
1947,1.0,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,7.763878254505583,6
1953,1.0,0.43,0.325,0.105,0.309,0.119,0.08,0.098,8.905812612811465,6
1964,1.0,0.275,0.205,0.065,0.1009999999999999,0.0409999999999999,0.021,0.034,5.836481566074666,5
1973,1.0,0.3,0.22,0.09,0.1425,0.057,0.0335,0.043,6.492268924991615,7
1976,1.0,0.37,0.28,0.085,0.198,0.0805,0.0455,0.0579999999999999,7.137505685906613,5
1978,1.0,0.38,0.3,0.1,0.2505,0.106,0.0535,0.0775,8.013231609825835,8
1979,1.0,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6.962585181003582,6
1980,1.0,0.275,0.205,0.07,0.094,0.0335,0.02,0.0325,6.102052318452016,5
1983,1.0,0.2,0.14,0.055,0.035,0.0145,0.008,0.01,4.465060630822258,5
1990,1.0,0.375,0.285,0.09,0.237,0.106,0.0395,0.08,7.7766638947340825,8
2010,1.0,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7.848176006924138,7
2014,1.0,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,5.917439433178117,6
2028,1.0,0.285,0.205,0.07,0.106,0.039,0.0285,0.034,5.9134993905013005,5
2042,1.0,0.345,0.255,0.08,0.1689999999999999,0.06,0.0425,0.054,7.131713137011332,10
2046,1.0,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04,6.531065389419702,5
2058,1.0,0.4,0.3,0.09,0.2815,0.1185,0.061,0.08,7.587740728882928,7
2068,1.0,0.28,0.2,0.065,0.0895,0.036,0.0185,0.03,5.666337300434189,7
2081,1.0,0.385,0.29,0.09,0.2365,0.1,0.0505,0.076,7.695750060370964,8
2084,1.0,0.34,0.25,0.07,0.2225,0.104,0.0425,0.055,5.813972737892549,7
2086,1.0,0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08,8.811645106855117,7
2093,1.0,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,7.859348444707561,11
2096,1.0,0.36,0.27,0.095,0.2,0.073,0.0559999999999999,0.061,7.527735249796163,8
2126,1.0,0.25,0.18,0.06,0.073,0.0279999999999999,0.017,0.0225,5.23566908167891,5
2127,1.0,0.335,0.265,0.105,0.222,0.0935,0.0559999999999999,0.075,7.8185912686165695,7
2133,1.0,0.255,0.185,0.06,0.0925,0.039,0.021,0.025,5.127696241204632,6
2135,1.0,0.36,0.265,0.09,0.2055,0.096,0.037,0.0585,6.685912201061674,7
2136,1.0,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6.038214397520867,6
2152,1.0,0.235,0.175,0.055,0.067,0.027,0.0125,0.018,4.977187064510361,6
2153,1.0,0.235,0.18,0.06,0.0579999999999999,0.022,0.0145,0.018,5.210122670121378,6
2154,1.0,0.365,0.27,0.085,0.2225,0.0935,0.0525,0.066,7.026585847045206,7
2167,1.0,0.235,0.175,0.08,0.0645,0.0215,0.0175,0.0215,5.736409125846197,5
2183,1.0,0.39,0.29,0.1,0.2845,0.1255,0.0635,0.081,7.446692962473302,7
