,Constant,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,y_pred,y_act
328,1.0,7.6,4.8,2.8000000000000003,10.4,4.9,5.7,2.05,9.9748,3.24,4.5,9.3,4.9487323156509655,5
333,1.0,6.9,3.5,5.5,11.95,3.8,2.2,1.11,9.9687,3.11,2.9,9.7,5.427469004772609,5
335,1.0,6.9,3.2,2.6,8.3,5.3,3.2,1.8,9.965,3.25,5.1,9.2,5.337589573907583,6
345,1.0,6.0,2.8000000000000003,4.9,6.8,4.8,6.1,2.22,9.953,3.19,4.699999999999999,9.3,5.363794684816484,5
354,1.0,5.8,3.0,0.8999999999999999,6.3,4.2,3.6,1.38,9.9382,3.15,4.8,9.7,5.433131526816735,5
358,1.0,6.4,3.4000000000000004,2.0,14.9,6.0,3.7,1.62,9.983,3.13,4.5,9.0,5.288403992834361,4
367,1.0,7.4,2.7,5.2,15.7,5.4,3.6,1.39,9.9788,3.04,6.2,10.0333333333,5.885865565834507,6
377,1.0,6.1,3.0,4.699999999999999,1.4,4.9,5.0,1.87,9.927,3.19,4.5,9.5,5.206759616295232,5
387,1.0,6.4,3.4000000000000004,4.4,8.2,4.3,5.4,2.01,9.9551,3.18,4.8,9.5,5.306215328747546,5
393,1.0,6.0,2.8000000000000003,2.4,17.8,4.7,4.2,1.11,9.9896,3.1,4.5,8.9,5.450602031024455,6
394,1.0,8.0,2.6,2.8000000000000003,8.2,3.8,7.2,2.02,9.9566,3.12,5.6000000000000005,10.0,5.775199965299192,6
395,1.0,6.8,3.2,1.7999999999999998,7.5,4.09999999999999,7.1,2.23,9.959,3.14,4.1,8.9,5.170487188883484,5
405,1.0,8.3,2.8000000000000003,2.7,17.5,4.5,4.8,2.53,10.0014,3.02,5.6000000000000005,9.1,5.74621932335434,6
406,1.0,6.7,1.3,5.699999999999999,6.6,5.59999999999999,6.0,1.5,9.9548,2.96,4.3,9.4,5.8270873004939805,6
407,1.0,6.7,3.1,1.7999999999999998,7.7,4.3,5.7,2.0,9.9566,3.17,4.4,9.4,5.388263608055785,6
411,1.0,6.1,2.7,2.8000000000000003,9.8,4.2,6.1,1.25,9.953199999999999,3.14,4.2,10.2,5.723896337257491,6
414,1.0,6.6,4.5,4.3,7.2,6.4,3.1,1.86,9.953999999999999,3.12,4.4,9.4,4.941142037708766,5
415,1.0,6.6,2.5,3.0,14.4,5.2,4.0,1.83,9.98,3.02,5.0,9.1,5.620818757446115,6
418,1.0,6.5,4.6000000000000005,2.4,11.5,5.1,5.6,1.71,9.9588,3.08,5.6000000000000005,9.8,5.121761873065986,6
421,1.0,6.2,2.55,2.4,1.7,3.9,13.85,2.72,9.9452,3.53,5.300000000000001,9.6,5.378985123810556,4
422,1.0,6.2,3.4000000000000004,3.0,11.1,4.7,2.8,2.37,9.981,3.18,4.9,8.7,5.266253030771316,5
425,1.0,7.5,2.1,6.800000000000001,10.9,4.5,3.8,1.33,9.978,3.0,3.5999999999999996,8.7,5.494649498329367,5
429,1.0,7.2,2.7,7.4,12.5,3.6999999999999997,4.7,1.56,9.981,3.04,4.4,8.7,5.355038113000876,5
432,1.0,7.6,2.6,5.8,7.9,4.09999999999999,6.2,1.8,9.966000000000001,3.07,3.8,9.0,5.385466696754024,5
433,1.0,6.9,3.2,1.3,7.8,4.2,1.1,1.17,9.96,3.23,3.7,9.2,5.32520484605374,5
442,1.0,7.6,2.2,2.8000000000000003,12.0,5.59999999999999,6.8,1.43,9.983,2.99,3.0,9.2,5.661148845124617,6
448,1.0,6.2,2.5,4.2,8.0,4.9,5.3,2.06,9.9586,3.16,4.699999999999999,9.1,5.4258713285407465,6
457,1.0,6.8,3.2,1.7999999999999998,7.5,4.09999999999999,7.1,2.23,9.959,3.14,4.1,8.9,5.170487188883484,5
458,1.0,7.8,4.2,2.3000000000000003,8.8,5.4,4.2,2.15,9.971,3.02,5.8,9.2,5.18380329527856,6
461,1.0,6.8,3.3000000000000003,4.4,7.0,5.0,2.9,1.55,9.955,3.14,4.2,9.5,5.343815442862804,5
465,1.0,6.8,1.5,4.1,12.9,4.3999999999999995,7.95,1.82,9.9742,3.24,7.800000000000001,10.2,6.241966716682586,6
468,1.0,6.7,2.4,2.9,14.9,5.3,5.5,1.36,9.9839,3.03,5.2,9.0,5.578985509236489,5
471,1.0,5.8,4.0,4.2,4.4,4.7,3.85,2.45,9.937000000000001,3.25,5.699999999999999,9.6,5.107494087874699,6
473,1.0,6.5,3.5,3.8,7.4,3.5999999999999996,2.0,1.96,9.9712,3.47,4.8,9.1,5.270682533807412,6
474,1.0,6.5,3.1,6.1,13.0,5.3,3.1,1.23,9.9708,3.09,5.0,9.3,5.382282749686461,6
478,1.0,6.6,2.7,4.9,7.8,4.9,6.2,2.17,9.959,3.17,4.5,9.4,5.465481744697619,6
490,1.0,7.4,2.8000000000000003,5.0,12.1,4.9,4.8,1.22,9.972999999999999,3.01,4.4,9.0,5.366677485742258,5
502,1.0,6.1,2.5,4.8,15.8,5.2,2.5,0.94,9.978200000000001,3.07,4.5,9.2,5.562429054114614,6
504,1.0,5.9,2.1,2.4,12.1,4.3999999999999995,5.3,1.65,9.969,3.25,3.9000000000000004,9.5,5.726022624592304,5
506,1.0,6.8,2.5,2.7,10.7,7.6,4.7,1.54,9.967,3.05,3.8,9.0,5.366241039892606,5
508,1.0,6.7,2.2,3.9000000000000004,10.2,3.8,6.0,1.49,9.9725,3.17,5.4,10.0,5.977934964786922,7
510,1.0,6.5,2.9,5.2,7.9,4.9,3.5,1.92,9.9551,3.16,5.1,9.5,5.468334945510228,6
521,1.0,6.3,3.0,2.4,6.6,4.0,3.8,1.41,9.95,3.22,4.699999999999999,9.5,5.408611385280057,5
525,1.0,7.2,2.5,3.9000000000000004,18.95,3.8,4.2,1.55,9.999,2.97,4.699999999999999,9.0,5.7144679340318225,6
532,1.0,7.4,2.7,2.6,11.8,5.3,5.5,1.73,9.9699,3.11,6.0,9.8,5.742997123040963,5
538,1.0,8.0,5.8999999999999995,7.1,17.35,3.8,6.1,2.28,10.0,2.95,7.5,9.3,4.927186144743419,5
539,1.0,7.6,3.4000000000000004,3.9000000000000004,7.6,4.0,4.5,2.15,9.965,3.11,5.300000000000001,9.2,5.3426497508026936,6
542,1.0,6.7,5.4,2.7,7.1,4.9,0.8,1.78,9.9502,3.16,3.8,9.4,4.733220216478561,4
543,1.0,6.2,3.2,1.2,4.8,5.4,0.6,0.97,9.9424,3.16,5.0,9.3,5.2619323061879895,5
549,1.0,7.0,3.1,2.6,7.4,6.9,2.8,1.6,9.953999999999999,3.13,4.6000000000000005,9.8,5.497298075582932,6
552,1.0,6.7,2.1,4.8,14.8,5.0,3.1,1.95,9.9942,2.95,7.5,8.8,5.819038018588131,6
555,1.0,6.2,2.5,4.4,15.8,5.7,3.9,1.67,9.9804,3.14,5.1,9.2,5.5804195404608965,5
556,1.0,7.6,3.5999999999999996,4.9,11.3,4.6,8.7,2.21,9.984,3.01,4.3,9.2,5.312750967249473,5
557,1.0,6.5,3.2,1.2,11.5,3.3000000000000003,3.5,1.65,9.974,3.22,3.2,9.0,5.33239228340966,5
562,1.0,6.9,3.7,2.3000000000000003,9.5,5.7,5.4,1.66,9.9568,3.23,4.2,10.0,5.363916090226207,5
563,1.0,5.9,2.9,1.6,7.9,4.3999999999999995,4.8,1.97,9.9512,3.21,3.5999999999999996,9.4,5.38658845890148,5
564,1.0,6.7,2.5,3.5999999999999996,8.6,3.6999999999999997,6.3,2.06,9.955300000000001,3.18,5.0,9.6,5.61455634509474,5
568,1.0,7.2,2.4,1.9,7.7,4.5,5.3,1.76,9.958,3.17,3.8,9.5,5.60848997207508,5
574,1.0,7.5,2.0,4.699999999999999,16.9,5.2,5.1,1.88,9.9944,3.09,6.2,9.3,5.905503149926302,5
577,1.0,6.0,2.2,2.5,11.1,5.59999999999999,11.2,1.77,9.961,3.08,3.5999999999999996,9.4,5.490631749273107,6
579,1.0,6.9,2.5,3.0,4.1,5.4,2.3,1.16,9.94,2.99,3.8,9.4,5.45593554300481,6
580,1.0,6.5,1.7999999999999998,4.1,14.2,3.9,4.7,1.29,9.9678,3.28,7.199999999999999,10.3,6.153747182645128,7
584,1.0,6.6,2.5,3.5999999999999996,8.1,4.5,5.4,1.8,9.958,3.08,4.2,9.2,5.471790845842459,5
592,1.0,6.8,2.5,3.0,11.8,4.3,5.3,1.33,9.9524,3.03,5.8,10.4,5.91713615725062,6
593,1.0,7.6,3.0,2.2,10.2,4.9,5.7,1.91,9.966000000000001,3.08,4.0,9.3,5.4179446768304445,6
596,1.0,6.5,2.4,3.9000000000000004,17.3,5.2,2.2,1.26,9.9888,3.11,4.699999999999999,9.2,5.697221371540857,6
604,1.0,6.4,3.0,3.8,7.8,4.6,3.5,1.92,9.955,3.1,3.7,9.0,5.248756004451765,5
608,1.0,6.5,1.5,5.5,5.9,4.5,7.5,1.62,9.9482,2.97,4.0,9.3,5.679654552156522,5
609,1.0,6.6,3.5999999999999996,5.2,10.1,5.0,2.9,1.4,9.962800000000001,3.07,4.0,9.4,5.2553708299235815,5
615,1.0,6.1,3.0,4.699999999999999,1.4,4.9,5.0,1.87,9.927,3.19,4.5,9.5,5.206759616295232,5
619,1.0,7.6,3.0,2.2,10.2,4.9,5.7,1.91,9.966000000000001,3.08,4.0,9.3,5.4179446768304445,6
621,1.0,7.1,3.3000000000000003,6.4,13.2,5.59999999999999,1.2,1.05,9.972,3.05,3.9000000000000004,9.2,5.290447273943133,5
622,1.0,7.4,3.1,2.6,8.6,4.8,4.7,2.06,9.963999999999999,3.26,3.5999999999999996,9.1,5.269972083993609,5
624,1.0,6.0,2.0,2.6,14.7,4.5,5.3,1.25,9.983649999999999,2.99,6.8999999999999995,9.4,5.937275671671448,6
630,1.0,7.4,2.6,3.0,7.9,4.9,3.8,1.57,9.963,3.13,4.8,8.9,5.375841643512527,6
637,1.0,6.4,3.1,3.1,12.9,4.5,5.5,1.61,9.9546,3.02,5.8999999999999995,10.2,5.6884240480073895,5
640,1.0,6.6,2.2,2.3000000000000003,17.3,4.7,3.7,1.18,9.990599999999999,3.08,4.6000000000000005,8.8,5.6125687587090125,6
644,1.0,5.9,2.3000000000000003,3.0,12.9,5.4,5.7,1.7,9.972,3.28,3.9000000000000004,9.4,5.596777150381277,5
655,1.0,6.2,2.2,3.0,12.4,5.4,10.8,1.52,9.972800000000001,3.1,4.699999999999999,9.5,5.634206842759878,6
656,1.0,6.4,2.3000000000000003,3.5,10.3,4.2,5.4,1.4,9.967,3.23,4.699999999999999,9.2,5.5412029075883416,5
657,1.0,5.8,2.8000000000000003,3.5,2.3,5.3,3.6,1.14,9.924,3.28,5.0,10.2,5.491857136052182,4
661,1.0,5.9,2.9,3.3000000000000003,7.4,3.6999999999999997,5.8,2.05,9.9495,3.26,4.1,9.6,5.4359527893666,5
663,1.0,5.8,3.3000000000000003,2.3000000000000003,5.0,5.3,2.9,1.06,9.9458,3.13,5.2,9.0,5.102166410703977,5
666,1.0,6.8,1.9,7.1,17.5,4.2,2.1,1.14,9.978399999999999,2.85,5.0,9.5,5.929981132056292,6
667,1.0,6.5,3.5999999999999996,3.1,4.1,6.1,2.0,1.34,9.9475,3.18,4.5,9.0,5.005595328807403,6
669,1.0,6.2,3.3000000000000003,1.9,5.6,4.2,2.2,1.43,9.942499999999999,3.15,6.3,9.9,5.5252526136185836,5
679,1.0,7.4,1.55,3.4000000000000004,2.3,4.5,7.35,2.14,9.934,3.18,6.1,9.9,5.862130356237094,7
680,1.0,7.7,3.4000000000000004,5.8,11.1,3.9,4.1,1.51,9.978,3.06,4.9,8.6,5.130485824221943,5
684,1.0,6.3,3.3000000000000003,4.2,17.2,3.6999999999999997,5.7,1.7,9.988399999999999,3.26,5.699999999999999,9.4,5.495125642078351,6
689,1.0,5.7,1.6,2.6,6.3,4.3,2.8,1.13,9.936,3.06,5.8,9.9,5.9183449938316,6
698,1.0,6.7,3.3000000000000003,3.4000000000000004,6.6,6.7,3.5,1.56,9.9542,3.11,4.8,9.3,5.236669541497126,6
701,1.0,6.9,3.2,2.7,16.0,3.4000000000000004,5.8,1.85,9.9938,3.34,6.0,9.0,5.433333718577266,6
706,1.0,6.4,2.5,5.699999999999999,1.0,6.2,2.1,1.22,9.9238,3.0,4.0,9.5,5.336873743530133,5
708,1.0,6.2,3.2,1.2,4.8,5.4,0.6,0.97,9.9424,3.16,5.0,9.3,5.2619323061879895,5
715,1.0,5.9,2.5,2.5,11.3,5.2,3.0,1.65,9.97,3.24,4.4,9.5,5.6671447761123,6
717,1.0,6.8,2.8000000000000003,2.9,11.9,5.2,5.1,1.49,9.9544,3.02,5.8,10.4,5.841567057910055,6
718,1.0,7.7,3.2,6.1,11.8,4.09999999999999,6.6,1.88,9.9794,3.0,5.4,9.3,5.470435570270364,5
723,1.0,6.0,2.8000000000000003,2.4,17.8,4.7,4.2,1.11,9.9896,3.1,4.5,8.9,5.450602031024455,6
731,1.0,6.3,2.7,2.5,5.8,3.8,5.2,1.55,9.95,3.28,3.8,9.4,5.4049677822271835,6
736,1.0,6.8,3.0,3.3000000000000003,12.8,4.09999999999999,6.0,1.68,9.9659,3.1,5.6000000000000005,9.8,5.62239573466573,5
744,1.0,6.8,2.7,2.2,17.8,3.4000000000000004,1.6,1.16,9.989,3.07,5.300000000000001,9.2,5.713620548982568,5
749,1.0,7.9,2.6,4.1,15.15,4.0,3.8,2.16,9.976,2.96,6.0,10.0,5.992732401471208,6
759,1.0,7.6,2.0,3.0,14.2,5.59999999999999,5.3,2.125,9.99,3.14,4.6000000000000005,8.9,5.697483524087361,8
760,1.0,6.6,2.7,2.9,5.3,4.5,5.7,1.89,9.953,3.31,7.9,9.8,5.670471348942146,5
763,1.0,6.7,2.6,5.1,8.0,6.2,5.0,1.94,9.9545,3.13,5.0,9.6,5.5282767219676705,5
764,1.0,7.3,2.5,3.5999999999999996,13.1,5.0,3.5,2.0,9.986,3.04,4.6000000000000005,8.9,5.601586034746408,7
769,1.0,6.6,3.2,4.1,7.2,4.8,5.5,1.78,9.9537,3.2,4.6000000000000005,9.4,5.281085329725523,5
772,1.0,6.8,2.6,2.4,7.8,5.2,5.4,2.14,9.961,3.13,4.699999999999999,8.9,5.362199793464984,5
780,1.0,7.5,2.6,5.2,13.2,4.7,6.4,1.79,9.982,3.1,4.6000000000000005,9.0,5.47343755339767,5
784,1.0,6.6,2.6,4.6000000000000005,6.9,4.7,5.9,1.83,9.9594,3.2,4.5,9.3,5.451671762727245,5
790,1.0,6.9,4.0,1.7000000000000002,12.9,3.3000000000000003,5.9,1.86,9.9754,3.08,4.9,9.4,5.304918046400189,5
791,1.0,6.2,2.9,2.6,13.1,4.6,5.5,2.04,9.974499999999999,3.16,4.1,9.6,5.620071008159631,6
796,1.0,6.0,4.2,4.1,12.4,3.2,5.0,1.79,9.9622,3.14,6.0,9.7,5.2580282461186325,5
798,1.0,7.1,2.7,3.1,18.2,4.6,5.5,2.52,10.0,3.07,5.6000000000000005,8.7,5.562510666368209,5
801,1.0,7.4,4.0,4.1,14.1,5.3,3.7,1.94,9.9886,3.2,6.3,9.4,5.3638219754102705,6
807,1.0,5.5,2.4,4.5,1.7,4.6,2.2,1.13,9.9224,3.22,4.8,10.0,5.564344493579229,5
815,1.0,6.1,3.0,5.6000000000000005,2.7,4.6,4.6,1.84,9.924,3.31,5.699999999999999,10.9,5.7355453626754285,6
817,1.0,7.6,3.2,5.8,16.75,5.0,4.3,1.63,9.999,3.15,5.4,9.2,5.521788337786001,5
820,1.0,7.0,2.1,3.4000000000000004,8.5,3.3000000000000003,3.1,2.53,9.953,3.22,5.6000000000000005,10.5,6.183588844540999,6
821,1.0,7.6,2.0,3.0,14.2,5.59999999999999,5.3,2.125,9.99,3.14,4.6000000000000005,8.9,5.697483524087361,8
835,1.0,6.0,3.5999999999999996,1.6,6.3,3.5999999999999996,3.6,1.91,9.942,3.17,6.2,9.8,5.402465977545119,5
845,1.0,6.6,3.3000000000000003,3.2,15.6,5.4,6.2,2.27,9.9734,3.25,5.6000000000000005,10.4,5.7745960499309374,5
848,1.0,6.4,2.5,3.2,5.5,4.9,4.1,1.76,9.95,3.19,6.800000000000001,9.2,5.474032119211064,6
849,1.0,5.9,2.2,2.9,4.2,3.6999999999999997,6.9,1.44,9.9214,3.13,7.4,10.8,5.970951389720828,7
851,1.0,6.7,2.6,2.9,7.1,3.5999999999999996,2.8,1.0,9.9534,3.08,3.5999999999999996,9.3,5.478807983790063,6
854,1.0,6.1,2.8000000000000003,2.7,8.0,4.8,4.1,1.62,9.9498,3.21,5.1,9.9,5.607299500907712,5
858,1.0,6.4,3.7,4.9,13.3,4.5,5.3,2.43,9.982,3.14,4.8,8.5,5.027829978045679,6
861,1.0,7.0,1.5,3.8,15.3,4.5,5.4,1.2,9.975000000000001,3.18,4.2,9.8,6.010091997906702,6
862,1.0,6.9,2.1,2.8000000000000003,2.4,5.59999999999999,4.9,1.59,9.943999999999999,3.02,4.699999999999999,8.8,5.357146118406814,8
866,1.0,7.1,2.1,2.7,8.6,5.59999999999999,2.6,1.11,9.956,2.95,5.2,9.5,5.741438826641038,5
873,1.0,5.7,2.2,2.0,16.0,4.3999999999999995,4.1,1.13,9.9862,3.22,4.6000000000000005,8.9,5.593126354477538,6
877,1.0,6.2,2.7,4.3,7.8,5.59999999999999,4.8,2.44,9.956,3.1,5.1,9.0,5.346374445686662,6
881,1.0,7.3,3.2,2.3000000000000003,13.7,5.0,4.9,1.97,9.985000000000001,3.2,4.6000000000000005,8.7,5.246428470592498,5
886,1.0,6.9,4.3,2.8000000000000003,9.4,5.59999999999999,2.9,1.83,9.9594,3.17,4.3,9.4,5.05005157016556,5
887,1.0,6.8,3.7,4.699999999999999,11.2,7.1,4.4,1.36,9.968,2.98,8.8,9.2,5.234345891600866,5
