,Constant,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,y_pred,y_act
66,1.0,6.7,4.4,3.1,1.9,3.0,4.1,1.04,9.9,3.29,6.2,12.6,6.866664544645169,7
69,1.0,6.0,2.9,2.7,2.3,4.3999999999999995,2.0,1.17,9.895,3.31,4.1,12.7,6.565368149897414,7
72,1.0,6.9,1.9,2.8000000000000003,5.0,5.79999999999999,1.4,1.46,9.952,3.29,3.5999999999999996,9.1,5.225002091533625,6
75,1.0,5.7,3.5999999999999996,3.4000000000000004,4.2,2.6,2.1,0.77,9.907,3.41,4.5,11.9,6.646207548080963,6
77,1.0,7.8,3.0,3.5999999999999996,4.6,2.4,2.0,1.98,9.9222,3.06,6.6000000000000005,11.9,6.301248387030296,6
79,1.0,6.8,3.1,2.5,10.5,4.3,3.0,1.65,9.972,3.36,5.5,10.55,5.674534139183769,6
81,1.0,7.3,2.2,4.0,14.75,4.2,4.45,1.295,9.998000000000001,3.36,4.1,9.1,5.601541367091659,7
82,1.0,8.4,2.0,3.1,2.8,5.4,1.6,0.89,9.941600000000001,2.96,4.5,9.5,5.289689638750861,6
84,1.0,8.2,2.6,3.3000000000000003,2.6,5.3,1.1,0.71,9.9402,2.89,4.9,9.5,5.190216391509116,5
86,1.0,9.0,2.6,3.4000000000000004,6.7,2.89999999999999,2.1,1.62,9.9497,3.08,5.0,10.6,5.844885751254194,6
88,1.0,8.2,3.1,4.3,7.0,4.7,1.8,0.87,9.962800000000001,3.23,6.4,10.6,5.688595119851303,5
89,1.0,7.1,3.7,3.0,6.2,4.0,4.9,1.39,9.9021,3.17,2.7,13.6,6.950311394649143,6
92,1.0,5.5,6.2,3.3000000000000003,1.7,3.6999999999999997,2.4,1.18,9.8758,3.15,3.9000000000000004,13.55,6.727561979690759,6
94,1.0,7.5,2.9,3.5999999999999996,15.7,5.0,2.9,1.24,9.968,3.06,5.4,10.4,5.851220604604263,5
97,1.0,6.3,2.9,2.9,3.3,3.6999999999999997,3.2,1.4,9.895,3.17,3.5999999999999996,12.8,6.677409467565739,7
98,1.0,7.2,3.2,3.0,8.25,2.0,1.4,1.04,9.9362,2.99,4.4,11.4,5.9792494541205174,6
106,1.0,6.7,1.3,2.9,5.3,5.1,3.1,1.22,9.943999999999999,3.44,3.7,9.7,5.862108148160464,6
115,1.0,6.5,3.2,3.0,2.3,5.1,2.0,1.27,9.8964,3.13,5.2,12.8,6.420518323671032,6
116,1.0,7.7,2.8000000000000003,3.9000000000000004,8.9,3.5999999999999996,0.8,1.17,9.935,3.06,3.8,12.0,6.062691938584578,7
118,1.0,6.5,3.7,3.0,2.2,3.3000000000000003,3.9,1.07,9.8894,3.22,5.300000000000001,13.5,7.025845333326827,7
119,1.0,5.4,2.05,1.6,12.55,5.1,3.1,1.15,9.9564,3.4,3.8,10.8,5.9257598325626875,6
121,1.0,5.5,2.4,3.2,8.7,6.0,1.9,1.02,9.94,3.27,3.1,10.4,5.702137655359913,5
127,1.0,7.3,3.4000000000000004,2.1,3.2,5.0,1.4,1.36,9.936,3.25,4.4,10.2,5.505526447632533,5
128,1.0,7.4,2.1,3.0,8.1,4.7,1.3,1.14,9.940999999999999,3.12,3.5,10.5,5.723236506882802,6
131,1.0,7.0,2.0,3.1,8.0,5.0,2.9,2.13,9.9596,3.28,5.699999999999999,10.4,5.679970439574326,6
132,1.0,6.2,3.5,2.9,3.9,4.09999999999999,2.2,0.79,9.9005,3.1,5.8999999999999995,12.066666666700002,6.454122397285642,6
135,1.0,6.5,2.8000000000000003,2.5,4.8,2.89999999999999,5.4,1.28,9.907399999999999,3.17,4.4,12.2,6.816158275920357,7
137,1.0,6.9,4.5,2.7,4.7,3.5000000000000004,1.7,0.8,9.9058,3.12,3.5999999999999996,12.5,6.346383319445586,7
151,1.0,6.0,2.7,3.2,3.6,3.5000000000000004,3.6,1.33,9.9215,3.23,4.6000000000000005,10.8,6.180606043349142,6
152,1.0,6.5,2.7,2.6,8.2,4.2,2.1,1.33,9.9612,3.43,6.4,9.8,5.701884634546099,6
154,1.0,5.8,3.0,3.8,4.9,3.9,2.2,0.86,9.8963,3.23,5.8,13.1,6.867920252594384,7
155,1.0,7.0,1.2,2.9,10.3,3.9,4.1,0.98,9.9564,3.19,3.8,9.8,5.954349294010551,8
160,1.0,6.2,3.0,3.3000000000000003,3.5,3.6999999999999997,3.7,1.55,9.8987,3.18,3.7,12.4,6.647768610770298,6
161,1.0,7.6,4.8,3.3000000000000003,7.0,2.4,1.4,1.3,9.918,3.25,4.5,12.5,6.519134090132857,7
162,1.0,9.2,2.7,3.4000000000000004,10.5,4.3,4.9,2.28,9.974,3.04,4.1,10.4,5.684098562178022,6
163,1.0,7.5,2.4,4.9,9.4,4.8,5.0,1.49,9.962,3.17,5.8999999999999995,10.5,6.049757453297726,7
164,1.0,6.1,3.8,2.0,6.6,3.3000000000000003,2.5,1.37,9.938,3.3,6.8999999999999995,10.4,5.97107339822141,6
165,1.0,6.9,2.9,3.2,5.8,4.0,1.6,1.12,9.93,3.04,5.8,11.2,5.910191340338974,5
178,1.0,7.9,2.9,3.1,7.35,3.4000000000000004,3.7,1.54,9.938,3.06,3.1,10.8,6.016837177009579,5
182,1.0,8.1,2.4,3.3000000000000003,10.2,4.8,4.6,1.41,9.972,3.16,4.8,10.3,5.751046913766543,6
186,1.0,6.5,3.2,2.3000000000000003,8.5,5.1,2.0,1.38,9.943,3.03,4.2,10.7,5.535400267942884,5
190,1.0,7.7,3.9000000000000004,3.4000000000000004,10.0,5.59999999999999,3.5,1.78,9.974,3.26,6.0,10.2,5.54001059444084,5
192,1.0,7.7,2.6,5.1,2.6,4.5,2.6,1.59,9.912600000000001,3.0,5.0,11.2,6.189920664704854,6
194,1.0,6.6,2.4,3.5,7.7,3.1,3.6,1.35,9.938,3.19,3.7,10.5,6.123036413886405,5
197,1.0,7.3,2.9,2.9,4.6,2.89999999999999,2.7,1.55,9.931,3.07,2.6,10.6,5.814953639128479,6
199,1.0,7.5,2.2,3.3000000000000003,6.7,3.5999999999999996,4.5,1.38,9.939,3.2,6.800000000000001,11.4,6.427364982559872,6
205,1.0,8.7,3.4000000000000004,4.6000000000000005,13.8,5.5,6.8,1.98,9.988,3.36,3.7,9.5,5.942695823673553,6
206,1.0,7.0,1.1,3.2,4.6,5.7,5.9,1.44,9.956,3.55,4.4,9.4,5.999363123190332,7
211,1.0,7.0,2.3000000000000003,4.2,5.1,4.2,3.7,1.44,9.951799999999999,3.5,5.8999999999999995,10.2,6.091680435568862,6
213,1.0,7.6,3.8,2.8000000000000003,4.2,2.89999999999999,0.7,1.12,9.906,3.0,4.1,12.6,6.2498269240704865,6
219,1.0,7.5,1.7999999999999998,3.7,6.2,5.0,2.1,1.38,9.9546,3.2,5.5,10.5,5.649188729403336,6
220,1.0,6.7,3.1,3.0,2.4,3.8,3.0,0.83,9.886700000000001,3.09,3.5999999999999996,12.8,6.74192775775069,7
221,1.0,7.3,2.0,3.9000000000000004,2.3,4.8,2.4,0.87,9.904399999999999,2.94,3.5,12.0,6.208477125624271,6
222,1.0,8.5,2.5,2.7,4.7,3.1,3.1,0.92,9.922,3.01,3.3000000000000003,12.0,6.287261896986711,6
224,1.0,7.7,4.4,2.4,11.2,3.1,4.1,1.67,9.948,3.12,4.3,11.3,6.1494169800838945,7
225,1.0,6.9,2.3000000000000003,4.1,8.0,3.0,3.0,1.14,9.9368,3.22,5.4,11.0,6.34968755539312,6
228,1.0,7.0,3.5999999999999996,3.2,10.05,4.5,3.7,1.31,9.9352,3.09,3.3000000000000003,11.7,6.188109225797238,8
230,1.0,7.0,3.5999999999999996,3.5,2.5,4.8,6.7,1.61,9.9146,3.05,5.6000000000000005,11.1,6.4180177048740195,6
233,1.0,7.4,2.2,2.8000000000000003,9.0,4.6,2.2,1.21,9.9468,3.1,5.5,10.8,5.86041486230204,5
235,1.0,6.8,2.5,2.4,4.55,5.3,4.1,2.11,9.955,3.37,6.7,9.5,5.6220522082534865,6
240,1.0,6.3,2.9,2.3000000000000003,14.2,3.6999999999999997,2.4,0.99,9.9528,3.08,3.8,10.6,5.882408698625862,6
241,1.0,6.6,2.6,2.4,7.2,3.8,2.8,1.37,9.952,3.35,6.0,10.4,5.8785753675594785,6
243,1.0,6.7,1.2,3.5999999999999996,2.3,3.9,4.3,1.25,9.9229,3.07,6.7,10.1,6.1649570296612515,7
247,1.0,8.0,2.5,2.7,9.7,3.5999999999999996,1.5,0.85,9.9406,2.99,3.5999999999999996,11.2,5.915484259939763,6
254,1.0,7.0,1.6,3.2,8.3,4.5,3.8,1.26,9.958,3.21,3.4000000000000004,9.2,5.647434186501919,5
257,1.0,5.8,2.3000000000000003,3.1,4.5,4.6,4.2,1.24,9.9324,3.31,6.4,10.8,6.184846645225489,6
259,1.0,7.6,3.7,3.4000000000000004,3.2,2.79999999999999,4.2,1.62,9.902999999999999,3.01,3.3000000000000003,12.4,6.576519746184744,6
260,1.0,8.4,2.2,2.8000000000000003,18.8,2.79999999999999,5.5,1.3,9.98,2.96,3.5,11.6,6.250756842520904,5
263,1.0,6.2,2.7,3.2,6.3,4.8,4.7,1.59,9.9282,3.21,6.0,11.0,6.3049042222316505,6
265,1.0,6.6,2.1,3.4000000000000004,5.6,4.6,3.0,1.4,9.9299,3.22,3.8,11.0,6.061738648820762,5
267,1.0,7.2,2.7,3.7,5.4,2.6,2.7,1.14,9.917399999999999,3.13,8.4,12.7,6.761603079125405,5
275,1.0,7.8,2.9,3.3000000000000003,8.75,3.5000000000000004,3.3,1.81,9.962,3.11,4.6000000000000005,10.7,5.710401664238054,5
276,1.0,7.7,3.4000000000000004,3.0,8.0,4.8,2.5,1.92,9.951,2.97,4.699999999999999,10.9,5.518530646459676,5
277,1.0,7.0,2.1,4.2,5.3,3.6999999999999997,3.6,1.23,9.9321,3.14,5.2,10.9,6.210618618534112,6
279,1.0,8.7,2.2,4.2,2.3,5.3,2.7,1.14,9.94,2.99,4.3,10.0,5.5462253633954655,5
281,1.0,7.4,1.7999999999999998,3.5999999999999996,13.1,5.59999999999999,7.2,1.63,10.0,3.42,3.5,9.1,5.662848458298762,6
287,1.0,7.2,3.5,2.5,5.6,3.2,2.3,1.2,9.9334,2.93,6.6000000000000005,10.3,5.759211450422436,7
290,1.0,6.6,1.3,3.0,4.9,5.79999999999999,4.7,1.31,9.946,3.51,4.5,10.3,6.07753050687669,6
292,1.0,8.9,2.1,3.4000000000000004,7.1,3.6999999999999997,3.3,1.5,9.962,3.1,4.5,9.7,5.641470967655298,6
295,1.0,7.9,4.6000000000000005,3.2,4.1,3.3000000000000003,4.0,1.38,9.911999999999999,3.18,4.4,12.8,6.649207878075925,7
296,1.0,8.0,3.2,3.5999999999999996,4.6,4.2,5.6,1.78,9.928,3.29,4.699999999999999,12.0,6.600384028291146,6
299,1.0,6.4,1.0,3.5,4.9,4.8,3.1,1.03,9.947000000000001,3.43,7.9,9.7,6.039634732735722,6
305,1.0,5.8,3.5999999999999996,2.6,3.3,3.8,4.0,1.53,9.911,3.34,5.5,11.3,6.45764840274228,6
307,1.0,6.6,1.5,3.2,6.0,3.3000000000000003,5.9,1.28,9.9192,3.19,7.1,12.1,6.950911201492702,8
308,1.0,7.1,2.9,3.4000000000000004,7.8,3.5999999999999996,4.9,1.28,9.9397,3.21,4.0,10.7,6.2685878894350635,6
321,1.0,7.1,3.0,3.5999999999999996,6.8,5.5,4.45,2.34,9.972,3.49,6.4,10.2,5.696891977758112,6
322,1.0,6.4,2.4,3.2,14.9,4.7,5.4,1.62,9.968,3.28,5.0,10.2,6.137707451634904,6
330,1.0,7.7,2.9,2.9,4.8,6.0,2.7,1.56,9.9572,3.49,5.8999999999999995,10.3,5.680869819713957,6
332,1.0,6.8,1.2,3.0,12.9,4.9,3.2,0.88,9.965399999999999,3.2,3.5,9.9,5.77785241771388,6
336,1.0,7.5,3.4000000000000004,2.8000000000000003,4.0,2.79999999999999,4.6,1.0,9.8958,3.2,5.0,13.2,7.153954433186141,7
338,1.0,5.1,3.3000000000000003,2.7,6.7,2.1999999999999997,4.4,1.29,9.9221,3.36,3.9000000000000004,11.0,6.508393289470038,7
341,1.0,7.5,3.8,2.9,4.9,2.1,3.8,1.13,9.9026,3.08,4.8,13.0,6.8853369670505105,7
343,1.0,5.9,3.2,1.9,14.5,4.2,3.7,1.15,9.968399999999999,3.16,4.3,10.3,5.703711418671251,5
344,1.0,4.8,2.6,2.3000000000000003,10.6,3.4000000000000004,2.3,1.11,9.927399999999999,3.46,2.8000000000000003,11.5,6.422546980606841,7
346,1.0,6.6,2.3000000000000003,2.7,5.6,4.3,4.3,1.64,9.953,3.27,7.6,9.5,5.809906731030897,5
348,1.0,4.9,3.3000000000000003,3.1,1.2,1.6,3.9,1.5,9.8713,3.33,5.8999999999999995,14.0,7.462727239382003,8
352,1.0,5.6,3.4000000000000004,2.5,2.5,4.6,4.7,1.82,9.9093,3.21,4.0,11.3,6.228076374015753,5
353,1.0,7.9,1.6,3.0,7.4,5.0,5.8,1.52,9.9612,3.12,3.7,9.5,5.716592501499226,6
356,1.0,6.5,2.9,3.0,9.15,5.1,2.5,1.66,9.9339,3.24,5.6000000000000005,11.3333333333,6.15604221730352,6
359,1.0,7.0,2.1,2.2,5.1,4.8,3.8,1.68,9.945,3.34,4.9,10.4,5.874260657330776,6
360,1.0,7.4,4.9,2.4,15.1,3.0,3.4,1.53,9.953,3.13,5.1,12.0,6.30206926207205,7
363,1.0,6.2,4.699999999999999,1.9,8.3,2.89999999999999,2.4,1.42,9.92,3.22,4.5,12.3,6.373748510854343,6
365,1.0,7.8,4.3,4.9,13.0,3.3000000000000003,3.7,1.58,9.955,3.14,3.5,11.3,6.223028813267856,6
368,1.0,5.4,4.6000000000000005,1.5,2.1,2.6,2.9,1.3,9.8953,3.39,7.7,13.4,6.880532056207362,8
373,1.0,8.2,2.3000000000000003,4.0,7.5,4.9,1.2,0.76,9.966000000000001,3.06,8.4,9.7,5.4551508317859465,6
380,1.0,8.2,3.0,4.4,12.4,4.3,5.2,1.54,9.9452,3.04,3.3000000000000003,12.0,6.48860692538077,6
382,1.0,7.0,1.7000000000000002,3.3000000000000003,4.0,3.4000000000000004,1.7,1.27,9.934,3.19,3.9000000000000004,10.6,5.837952835134912,7
388,1.0,8.1,2.8000000000000003,4.0,6.9,5.0,3.0,0.97,9.951,3.26,4.4,10.1,5.860247011271012,6
391,1.0,5.8,2.8000000000000003,3.4000000000000004,4.0,3.1,4.0,0.99,9.896,3.39,3.9000000000000004,12.8,7.073546379997837,7
396,1.0,5.1,3.5,2.6,6.8,3.4000000000000004,3.6,1.2,9.9188,3.38,4.0,11.5,6.466602770063979,6
397,1.0,7.8,2.0,3.2,5.0,1.6,3.1,1.01,9.9186,2.99,3.9000000000000004,11.0,6.3727621616341406,6
400,1.0,7.2,3.4000000000000004,3.0,8.4,5.1,4.0,1.67,9.9756,3.48,6.2,9.7,5.63853585365264,5
401,1.0,10.7,2.2,5.6000000000000005,8.2,4.3999999999999995,3.7,1.81,9.98,2.87,6.800000000000001,9.5,5.502121325031803,6
403,1.0,6.3,2.3000000000000003,3.3000000000000003,6.9,5.2,2.3,1.18,9.938,3.23,4.6000000000000005,10.4,5.8346945702831166,6
404,1.0,9.8,3.1,4.9,15.4,4.6,1.3,1.19,10.004,3.18,4.5,9.5,5.2875524820469115,5
408,1.0,6.2,2.2,4.9,6.0,2.89999999999999,3.1,1.28,9.928,3.41,3.5999999999999996,11.3,6.516169929541613,8
410,1.0,7.5,4.2,1.4000000000000001,10.7,4.6,1.8,0.95,9.959,3.22,3.3000000000000003,10.7,5.538458758158958,5
417,1.0,6.9,3.1,3.3000000000000003,12.7,3.8,3.3,1.16,9.953999999999999,3.04,6.5,10.4,6.0201739713569,6
426,1.0,7.2,3.2,2.4,5.6,3.3000000000000003,2.3,1.2,9.9334,2.92,6.6000000000000005,10.3,5.75132520578459,7
430,1.0,7.6,2.9,2.9,4.4,5.1,2.6,1.46,9.939,3.16,3.9000000000000004,10.2,5.623420401916151,5
431,1.0,10.0,2.3000000000000003,2.7,14.1,3.3000000000000003,4.5,1.66,9.988,2.72,4.3,9.7,5.40165976788847,6
434,1.0,7.5,2.7,3.5999999999999996,7.0,3.5999999999999996,4.5,1.64,9.939,3.03,3.3000000000000003,11.0,6.04977484724413,5
435,1.0,7.7,2.8000000000000003,3.3000000000000003,6.7,3.6999999999999997,3.2,1.55,9.951,3.39,6.2,10.7,6.118041076723219,7
436,1.0,7.2,1.7000000000000002,3.7,6.9,5.8999999999999995,4.7,1.28,9.9322,3.08,4.6000000000000005,11.0,6.183883313382348,7
438,1.0,7.1,2.0,2.7,9.6,3.6999999999999997,1.9,1.05,9.9444,3.04,3.7,10.5,5.7901587950499405,7
439,1.0,7.7,2.8000000000000003,3.3000000000000003,6.7,3.6999999999999997,3.2,1.55,9.951,3.39,6.2,10.7,6.118041076723219,7
445,1.0,7.3,3.2,3.4000000000000004,6.6,3.2,2.4,1.12,9.9505,3.22,4.6000000000000005,9.8,5.728379802663761,6
446,1.0,5.8,3.85,2.5,3.7,3.1,3.8,1.22,9.9128,3.2,6.3,11.2,6.380541882563434,6
449,1.0,7.5,2.7,3.5999999999999996,7.0,3.5999999999999996,4.5,1.64,9.939,3.03,3.3000000000000003,11.0,6.04977484724413,5
453,1.0,7.5,3.4000000000000004,3.5,6.0,3.4000000000000004,1.2,1.26,9.924,3.16,3.9000000000000004,12.0,6.169049699090436,7
454,1.0,6.5,2.6,3.1,3.6,3.0,3.6,0.92,9.9026,3.22,6.2,12.6,6.882554045620089,8
459,1.0,8.8,2.8000000000000003,4.5,6.0,2.1999999999999997,1.4,0.49,9.934,3.01,3.3000000000000003,11.1,6.091676417218653,7
472,1.0,6.5,2.8000000000000003,2.9,2.7,3.8,2.6,1.07,9.911999999999999,3.32,4.1,11.6,6.352247728577777,7
476,1.0,8.8,2.7,2.5,5.0,2.4,5.2,0.99,9.925,2.87,4.9,11.4,6.405400074856771,5
487,1.0,5.9,3.0,4.699999999999999,7.85,3.0,1.9,1.33,9.933,3.52,4.3,11.5,6.477414513371317,7
488,1.0,7.7,3.4000000000000004,2.8000000000000003,11.0,4.0,3.1,1.17,9.9815,3.27,2.9,9.2,5.329872816000222,6
489,1.0,8.2,2.1,3.2,10.65,5.3,5.3,1.45,9.972,3.17,4.8,10.2,5.8275257788135155,6
493,1.0,8.0,2.8000000000000003,4.2,7.1,4.5,4.1,1.69,9.959,3.17,4.3,10.6,5.794706039240543,5
494,1.0,7.4,2.8000000000000003,4.0,11.9,3.2,1.3,0.92,9.9629,3.01,4.6000000000000005,10.8,5.685580686825191,4
495,1.0,8.8,3.3000000000000003,3.5999999999999996,2.1,3.4000000000000004,1.9,1.25,9.916599999999999,2.96,9.8,12.7,6.436936634510818,6
496,1.0,8.2,2.6,4.9,5.2,4.0,1.9,1.0,9.940999999999999,3.12,3.4000000000000004,10.1,5.789332552283833,6
497,1.0,6.7,1.1,3.4000000000000004,8.8,4.3,4.1,1.13,9.962,3.42,4.0,9.3,5.908885917230993,7
499,1.0,6.4,2.7,2.9,3.9,3.4000000000000004,6.2,1.4,9.9237,3.1,5.8999999999999995,11.1,6.422366975128264,6
503,1.0,7.0,2.6,2.6,10.8,3.9,3.7,1.84,9.9787,3.47,5.8,10.3,5.800270463335967,7
505,1.0,7.2,2.3000000000000003,4.6000000000000005,6.4,3.5999999999999996,1.7,0.85,9.9279,3.1,7.800000000000001,11.7,6.386703008137751,6
511,1.0,6.6,3.5999999999999996,2.8000000000000003,6.1,2.89999999999999,1.2,0.93,9.9054,3.19,2.7,12.8,6.496632769853301,7
512,1.0,6.2,3.5999999999999996,3.8,3.2,3.1,2.0,0.89,9.8956,3.06,3.3000000000000003,12.0,6.426571130834783,7
513,1.0,7.2,3.4000000000000004,4.4,4.2,4.7,5.1,1.44,9.91,3.01,7.6,12.3,6.715320405715674,6
515,1.0,8.1,4.5,3.4000000000000004,8.3,3.6999999999999997,3.3,2.16,9.976,3.31,6.4,9.7,5.513592772198575,5
520,1.0,6.4,2.3000000000000003,3.5,4.6,3.9,4.3,1.47,9.9216,3.18,4.0,11.0,6.287667713068845,7
522,1.0,5.4,5.300000000000001,1.6,2.7,3.5999999999999996,3.4,1.28,9.8856,3.2,5.300000000000001,13.2,6.727127692973618,8
527,1.0,6.3,4.1,3.3000000000000003,4.7,2.3,2.8,1.1,9.91,3.3,3.8,12.5,6.638011169145476,7
528,1.0,8.9,2.4,3.3000000000000003,15.75,3.5000000000000004,1.6,1.32,9.96,3.0,3.7,12.1,6.127814546524986,6
531,1.0,6.9,2.2,3.9000000000000004,6.0,3.5000000000000004,4.4,1.41,9.9123,3.11,3.3000000000000003,12.5,6.708540310738582,6
534,1.0,5.7,2.0,3.0,2.5,4.6,3.8,1.25,9.9276,3.34,5.0,9.9,5.979012057120021,6
536,1.0,8.0,2.6,2.8000000000000003,4.8,5.0,3.4,1.5,9.9437,3.13,5.0,10.0,5.697445983186048,6
541,1.0,6.8,3.3000000000000003,3.0,2.1,4.7,3.5,1.47,9.886000000000001,3.24,5.6000000000000005,13.4,6.973493945020726,6
545,1.0,7.0,2.3000000000000003,3.3000000000000003,5.8,4.0,2.5,1.36,9.95,3.19,5.8,9.5,5.636361959145376,6
546,1.0,5.8,2.5,2.4,13.3,4.3999999999999995,4.1,1.37,9.972,3.34,4.2,9.5,5.7175294501160785,5
547,1.0,8.1,2.6,3.0,7.8,4.9,3.9,1.52,9.953999999999999,2.99,5.8,10.0,5.674064411098157,6
559,1.0,6.7,2.6,2.9,7.7,3.8,4.0,1.79,9.947899999999999,3.23,5.6000000000000005,10.4,5.983851488580935,6
560,1.0,7.4,1.9,4.2,6.4,6.7,3.9,2.12,9.958,3.3,3.3000000000000003,9.6,5.52085767656996,6
561,1.0,5.7,1.5,2.8000000000000003,3.7,4.5,5.7,1.51,9.913,3.22,2.7,11.2,6.425001725058746,6
569,1.0,6.1,2.7,3.0,16.7,3.9,4.9,1.72,9.9985,3.4,4.5,9.4,5.647412460942351,5
570,1.0,5.8,2.9,3.8,10.7,3.8,4.9,1.36,9.9366,3.11,5.8999999999999995,11.2,6.438290149006089,6
572,1.0,5.8,3.0,3.8,4.9,3.9,2.2,0.86,9.8963,3.23,5.8,13.1,6.867920252594384,7
575,1.0,8.1,2.2,2.8000000000000003,7.7,4.3,5.7,1.76,9.953999999999999,3.12,5.5,10.0,6.000110569830861,5
576,1.0,6.7,3.5,3.2,9.0,3.2,2.9,1.13,9.9188,3.13,6.5,12.9,6.742171793340297,7
578,1.0,5.9,1.5,3.1,5.8,4.09999999999999,5.3,1.55,9.945,3.52,4.6000000000000005,10.5,6.29198749402291,6
583,1.0,7.2,3.5999999999999996,3.5999999999999996,5.7,3.8,2.6,0.98,9.914,2.93,5.8999999999999995,12.5,6.373582761808967,7
587,1.0,6.8,1.7000000000000002,1.7000000000000002,5.1,4.9,2.6,0.82,9.93,3.0,3.8,9.8,5.6121062794855785,6
591,1.0,5.6,1.5,3.1,5.3,3.8,0.8,0.79,9.923,3.3,3.9000000000000004,10.5,5.996180611458551,6
598,1.0,7.0,3.5999999999999996,3.2,10.05,4.5,3.7,1.31,9.9352,3.09,3.3000000000000003,11.7,6.188109225797238,8
600,1.0,8.5,2.3000000000000003,4.0,9.9,3.5999999999999996,2.4,0.88,9.951,3.02,4.2,10.5,5.947465176620906,6
601,1.0,6.9,2.3000000000000003,3.4000000000000004,4.0,4.7,2.4,1.28,9.943999999999999,3.2,5.2,9.7,5.581613768388061,6
605,1.0,7.5,1.7999999999999998,4.5,4.6,4.09999999999999,6.7,1.58,9.927,3.01,3.8,10.6,6.38750659917179,6
606,1.0,6.9,2.5,3.5,9.2,3.4000000000000004,4.2,1.5,9.947000000000001,3.21,3.5999999999999996,11.5,6.217146243387234,6
620,1.0,7.1,3.9000000000000004,3.0,9.9,3.6999999999999997,2.9,1.24,9.9414,3.07,4.2,10.9,5.970495729923119,6
