,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
136,0.00632,18.0,2.31,0,0.5379999999999999,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24.0
137,0.04011,80.0,1.52,0,0.4039999999999999,7.287000000000001,34.1,7.309,2,329,12.6,396.9,4.08,33.3
138,0.1,34.0,6.09,0,0.433,6.982,17.7,5.4917,7,329,16.1,390.43,4.86,33.1
142,0.02729,0.0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03,34.7
144,0.57529,0.0,6.2,0,0.507,8.337,73.3,3.8384,8,307,17.4,385.91,2.47,41.7
145,0.537,0.0,6.2,0,0.504,5.981,68.1,3.6715,8,307,17.4,378.35,11.65,24.3
146,0.04819,80.0,3.64,0,0.392,6.108,32.0,9.2203,1,315,16.4,392.89,6.57,21.9
147,0.07503,33.0,2.18,0,0.472,7.42,71.9,3.0992,7,222,18.4,396.9,6.47,33.4
148,0.02498,0.0,1.89,0,0.518,6.54,59.7,6.2669,1,422,15.9,389.96,8.65,16.5
150,0.0350199999999999,80.0,4.95,0,0.411,6.861000000000001,27.9,5.1167,4,245,19.2,396.9,3.33,28.5
152,0.07151,0.0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,395.15,8.44,22.2
156,0.03871,52.5,5.32,0,0.405,6.209,31.3,7.3172,6,293,16.6,396.9,7.14,23.2
160,0.17142,0.0,6.91,0,0.4479999999999999,5.682,33.8,5.1004,3,233,17.9,396.9,10.21,19.3
161,0.25199,0.0,10.59,0,0.489,5.783,72.7,4.3549,4,277,18.6,389.43,18.06,22.5
165,0.19186,0.0,7.38,0,0.493,6.431,14.7,5.4159,5,287,19.6,393.68,5.08,24.6
168,0.0459,52.5,5.32,0,0.405,6.315,45.6,7.3172,6,293,16.6,396.9,7.6,22.3
169,0.05302,0.0,3.41,0,0.489,7.079,63.1,3.4145,2,270,17.8,396.06,5.7,28.7
171,0.1587599999999999,0.0,10.81,0,0.413,5.961,17.5,5.2873,4,305,19.2,376.94,9.88,21.7
177,0.01439,60.0,2.93,0,0.401,6.604,18.8,6.2196,1,265,15.6,376.7,4.38,29.1
179,0.0518799999999999,0.0,4.49,0,0.449,6.015,45.1,4.4272,3,247,18.5,395.99,12.86,22.5
180,0.05083,0.0,5.19,0,0.515,6.316,38.1,6.4584,5,224,20.2,389.71,5.68,22.2
181,0.06162,0.0,4.39,0,0.442,5.898,52.3,8.0136,3,352,18.8,364.61,12.67,17.2
183,0.0797799999999999,40.0,6.41,0,0.447,6.482,32.1,4.1403,4,254,17.6,396.9,7.19,29.1
185,0.20608,22.0,5.86,0,0.431,5.593,76.5,7.9549,7,330,19.1,372.49,12.5,17.6
188,0.03932,0.0,3.41,0,0.489,6.405,73.9,3.0921,2,270,17.8,393.55,8.2,22.0
191,0.0837,45.0,3.44,0,0.437,7.185,38.9,4.5667,5,398,15.2,396.9,5.39,34.9
195,0.06466,70.0,2.24,0,0.4,6.345,20.1,7.8278,5,358,14.8,368.24,4.97,22.5
201,0.0686,0.0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18.0,396.9,6.19,33.2
204,0.06617,0.0,3.24,0,0.46,5.867999999999999,25.8,5.2146,4,430,16.9,382.44,9.97,19.3
206,0.06888,0.0,2.46,0,0.488,6.144,62.2,2.5979,3,193,17.8,396.9,9.45,36.2
207,0.08221,22.0,5.86,0,0.431,6.957000000000001,6.8,8.9067,7,330,19.1,386.09,3.53,29.6
209,0.14932,25.0,5.13,0,0.4529999999999999,5.7410000000000005,66.2,7.2254,8,284,19.7,395.11,13.15,18.7
211,0.12757,30.0,4.93,0,0.428,6.393,7.8,7.0355,6,300,16.6,374.71,5.19,23.7
213,0.15936,0.0,6.91,0,0.4479999999999999,6.211,6.5,5.7209,3,233,17.9,394.46,7.44,24.7
218,0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,21.6
219,0.29819,0.0,6.2,0,0.504,7.686,17.0,3.3751,8,307,17.4,377.51,3.92,46.7
220,0.12269,0.0,6.91,0,0.4479999999999999,6.069,40.0,5.7209,3,233,17.9,389.39,9.55,21.2
221,0.09266,34.0,6.09,0,0.433,6.495,18.4,5.4917,7,329,16.1,383.61,8.67,26.4
222,0.10659,80.0,1.91,0,0.413,5.936,19.5,10.5857,4,334,22.0,376.04,5.57,20.6
226,0.17505,0.0,5.96,0,0.499,5.966,30.2,3.8473,5,279,19.2,393.43,10.13,24.7
229,0.19539,0.0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,377.17,7.54,23.4
230,0.12204,0.0,2.89,0,0.445,6.625,57.8,3.4952,2,276,18.0,357.98,6.65,28.4
234,0.0887299999999999,21.0,5.64,0,0.439,5.962999999999999,45.7,6.8147,4,243,16.8,395.56,13.45,19.7
236,0.03113,0.0,4.39,0,0.442,6.013999999999999,48.5,8.0136,3,352,18.8,385.64,10.53,17.5
238,0.01778,95.0,1.47,0,0.4029999999999999,7.135,13.9,7.6534,3,402,17.0,384.3,4.45,32.9
241,0.29916,20.0,6.96,0,0.4639999999999999,5.856,42.1,4.428999999999999,3,223,18.6,388.65,13.0,21.1
243,0.1403,22.0,5.86,0,0.431,6.487,13.0,7.3967,7,330,19.1,396.28,5.9,24.4
245,0.09068,45.0,3.44,0,0.437,6.9510000000000005,21.5,6.4798,5,398,15.2,377.68,5.1,37.0
246,0.10008,0.0,2.46,0,0.488,6.563,95.6,2.847,3,193,17.8,396.9,5.68,32.5
251,0.06211,40.0,1.25,0,0.429,6.49,44.4,8.7921,1,335,19.7,396.9,5.98,22.9
252,0.02763,75.0,2.95,0,0.428,6.595,21.8,5.4011,3,252,18.3,395.63,4.32,30.8
253,0.06151,0.0,5.19,0,0.515,5.968,58.5,4.8122,5,224,20.2,396.9,9.29,18.7
256,0.0795,60.0,1.69,0,0.411,6.579,35.9,10.7103,4,411,18.3,370.78,5.49,24.1
257,0.52693,0.0,6.2,0,0.504,8.725,83.0,2.8944,8,307,17.4,382.0,4.63,50.0
262,0.28392,0.0,7.38,0,0.493,5.707999999999999,74.3,4.7211,5,287,19.6,391.13,11.74,18.5
265,0.08187,0.0,2.89,0,0.445,7.82,36.9,3.4952,2,276,18.0,393.53,3.57,43.8
267,0.0666399999999999,0.0,4.05,0,0.51,6.546,33.1,3.1323,5,296,16.6,390.96,5.33,29.4
268,0.08014,0.0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.2,396.9,8.77,21.0
269,0.03615,80.0,4.95,0,0.411,6.63,23.4,5.1167,4,245,19.2,396.9,4.7,27.9
273,0.0304899999999999,55.0,3.78,0,0.484,6.874,28.1,6.4654,5,370,17.6,387.97,4.61,31.2
275,0.24103,0.0,7.38,0,0.493,6.082999999999999,43.7,5.4159,5,287,19.6,396.9,12.79,22.2
280,0.06588,0.0,2.46,0,0.488,7.765,83.3,2.741,3,193,17.8,395.56,7.56,39.8
284,0.51183,0.0,6.2,0,0.507,7.358,71.6,4.148,8,307,17.4,390.07,4.73,31.5
285,0.21038,20.0,3.33,0,0.4429,6.812,32.2,4.1007,5,216,14.9,396.9,4.85,35.1
286,0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,393.24,8.05,33.0
287,0.35114,0.0,7.38,0,0.493,6.041,49.9,4.7211,5,287,19.6,396.9,7.7,20.4
288,0.0578,0.0,2.46,0,0.488,6.98,58.4,2.829,3,193,17.8,396.9,5.04,37.2
296,0.02899,40.0,1.25,0,0.429,6.939,34.5,8.7921,1,335,19.7,389.85,5.89,26.6
302,0.05602,0.0,2.46,0,0.488,7.831,53.6,3.1992,3,193,17.8,392.63,4.45,50.0
303,0.03961,0.0,5.19,0,0.515,6.037000000000001,34.5,5.9853,5,224,20.2,396.9,8.01,21.1
304,0.0351,95.0,2.68,0,0.4161,7.853,33.2,5.118,4,224,14.7,392.78,3.81,48.5
307,0.04113,25.0,4.86,0,0.426,6.727,33.5,5.4007,4,281,19.0,396.9,5.29,28.0
315,0.12579,45.0,3.44,0,0.437,6.556,29.1,4.5667,5,398,15.2,382.84,4.56,29.8
317,0.04684,0.0,3.41,0,0.489,6.417000000000001,66.1,3.0923,2,270,17.8,392.18,8.81,22.6
318,0.08244,30.0,4.93,0,0.428,6.481,18.5,6.1899,6,300,16.6,379.41,6.36,23.7
322,0.14052,0.0,10.59,0,0.489,6.375,32.3,3.9454,4,277,18.6,385.81,9.38,28.1
323,0.08829,12.5,7.87,0,0.524,6.0120000000000005,66.6,5.5605,5,311,15.2,395.6,12.43,22.9
325,0.0437899999999999,80.0,3.37,0,0.3979999999999999,5.787000000000001,31.1,6.6115,4,337,16.1,396.9,10.24,19.4
326,0.05789,12.5,6.07,0,0.409,5.877999999999999,21.4,6.497999999999999,4,345,18.9,396.21,8.1,22.0
327,0.09252,30.0,4.93,0,0.428,6.606,42.2,6.1899,6,300,16.6,383.78,7.37,23.3
328,0.02055,85.0,0.74,0,0.41,6.382999999999999,35.7,9.1876,2,313,17.3,396.9,5.77,24.7
332,0.16439,22.0,5.86,0,0.431,6.433,49.1,7.8265,7,330,19.1,374.71,9.52,24.5
333,0.11329,30.0,4.93,0,0.428,6.897,54.3,6.3361,6,300,16.6,391.25,11.38,22.0
335,0.05497,0.0,5.19,0,0.515,5.985,45.4,4.8122,5,224,20.2,396.9,9.74,19.0
338,0.04297,52.5,5.32,0,0.405,6.565,22.9,7.3172,6,293,16.6,371.72,9.51,24.8
339,0.09103,0.0,2.46,0,0.488,7.155,92.2,2.7006,3,193,17.8,394.12,4.82,37.9
341,0.06911,45.0,3.44,0,0.437,6.739,30.8,6.4798,5,398,15.2,389.71,4.69,30.5
342,0.34109,0.0,7.38,0,0.493,6.415,40.1,4.7211,5,287,19.6,396.9,6.12,25.0
347,0.03548,80.0,3.64,0,0.392,5.876,19.1,9.2203,1,315,16.4,395.18,9.25,20.9
358,0.03705,20.0,3.33,0,0.4429,6.968,37.2,5.2447,5,216,14.9,392.23,4.59,35.4
362,0.0335899999999999,75.0,2.95,0,0.428,7.024,15.8,5.4011,3,252,18.3,395.62,1.98,34.9
363,0.19657,22.0,5.86,0,0.431,6.226,79.2,8.0555,7,330,19.1,376.14,10.15,20.5
369,0.02543,55.0,3.78,0,0.484,6.696000000000001,56.4,5.7321,5,370,17.6,396.9,7.18,23.9
370,0.1415,0.0,6.91,0,0.4479999999999999,6.169,6.6,5.7209,3,233,17.9,383.37,5.81,25.3
372,0.41238,0.0,6.2,0,0.504,7.162999999999999,79.9,3.2157,8,307,17.4,372.08,6.36,31.6
377,0.01096,55.0,2.25,0,0.389,6.452999999999999,31.9,7.3073,1,300,15.3,394.72,8.23,22.0
378,0.33045,0.0,6.2,0,0.507,6.086,61.5,3.6519,8,307,17.4,376.75,10.88,24.0
383,0.6147,0.0,6.2,0,0.507,6.617999999999999,80.8,3.2721,8,307,17.4,396.9,7.6,30.1
388,0.33983,22.0,5.86,0,0.431,6.108,34.9,8.0555,7,330,19.1,390.18,9.16,24.3
391,0.1208299999999999,0.0,2.89,0,0.445,8.068999999999999,76.0,3.4952,2,276,18.0,396.9,4.21,38.7
392,0.15445,25.0,5.13,0,0.4529999999999999,6.145,29.2,7.8148,8,284,19.7,390.68,6.86,23.3
397,0.01709,90.0,2.02,0,0.41,6.728,36.1,12.1265,5,187,17.0,384.46,4.5,30.1
399,0.07886,80.0,4.95,0,0.411,7.148,27.7,5.1167,4,245,19.2,396.9,3.56,37.3
400,0.10328,25.0,5.13,0,0.4529999999999999,5.9270000000000005,47.2,6.932,8,284,19.7,396.9,9.22,19.6
413,0.03584,80.0,3.37,0,0.3979999999999999,6.29,17.8,6.6115,4,337,16.1,396.9,4.67,23.5
415,0.22489,12.5,7.87,0,0.524,6.377000000000001,94.3,6.3467,5,311,15.2,392.52,20.45,15.0
416,0.0505899999999999,0.0,4.49,0,0.449,6.388999999999999,48.0,4.7794,3,247,18.5,396.9,9.62,23.9
418,0.0315,95.0,1.47,0,0.4029999999999999,6.975,15.3,7.6534,3,402,17.0,396.9,4.56,34.9
419,0.19802,0.0,10.59,0,0.489,6.182,42.4,3.9454,4,277,18.6,393.63,9.47,25.0
423,0.1146,20.0,6.96,0,0.4639999999999999,6.537999999999999,58.7,3.9175,3,223,18.6,394.96,7.73,24.4
425,0.05735,0.0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,392.3,6.53,26.6
427,0.03445,82.5,2.03,0,0.415,6.162000000000001,38.4,6.27,2,348,14.7,393.77,7.43,24.1
430,0.09378,12.5,7.87,0,0.524,5.888999999999999,39.0,5.4509,5,311,15.2,390.5,15.71,21.7
432,0.14455,12.5,7.87,0,0.524,6.172000000000001,96.1,5.9505,5,311,15.2,396.9,19.15,27.1
433,0.06642,0.0,4.05,0,0.51,6.86,74.4,2.9153,5,296,16.6,391.27,6.92,29.9
435,0.03427,0.0,5.19,0,0.515,5.869,46.3,5.2311,5,224,20.2,396.9,9.8,19.5
436,0.05515,33.0,2.18,0,0.472,7.236000000000001,41.1,4.022,7,222,18.4,393.68,6.93,36.1
440,0.19133,22.0,5.86,0,0.431,5.605,70.2,7.9549,7,330,19.1,389.13,18.46,18.5
443,0.0150099999999999,80.0,2.01,0,0.435,6.635,29.7,8.344,4,280,17.0,390.94,5.99,24.5
444,0.07875,45.0,3.44,0,0.437,6.782,41.1,3.7886,5,398,15.2,393.87,6.68,32.0
446,0.08308,0.0,2.46,0,0.488,5.604,89.8,2.9879,3,193,17.8,391.0,13.98,26.4
449,0.08826,0.0,10.81,0,0.413,6.417000000000001,6.6,5.2873,4,305,19.2,383.73,6.72,24.2
450,0.0217699999999999,82.5,2.03,0,0.415,7.61,15.7,6.27,2,348,14.7,395.38,3.11,42.3
451,0.04462,25.0,4.86,0,0.426,6.619,70.4,5.4007,4,281,19.0,395.63,7.22,23.9
