,Constant,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,y_pred,y_act
120,1.0,9.18702,0.0,18.1,0,0.7,5.5360000000000005,100.0,1.5804,24,666,20.2,396.9,23.6,14.070976848244717,11.3
125,1.0,11.8123,0.0,18.1,0,0.718,6.824,76.5,1.794,24,666,20.2,48.45,22.74,9.52118508537742,8.4
126,1.0,0.1712,0.0,8.56,0,0.52,5.836,91.9,2.211,5,384,20.9,395.67,18.66,18.482252479527446,19.5
129,1.0,0.1396,0.0,8.56,0,0.52,6.167000000000001,90.0,2.421,5,384,20.9,392.69,12.33,22.062260315281254,20.1
131,1.0,4.422280000000001,0.0,18.1,0,0.584,6.002999999999999,94.5,2.5403,24,666,20.2,331.29,21.32,17.13612416350008,19.1
141,1.0,0.13117,0.0,8.56,0,0.52,6.127000000000001,85.2,2.1224,5,384,20.9,387.69,14.09,21.07351738535311,20.4
155,1.0,9.2323,0.0,18.1,0,0.631,6.216,100.0,1.1691,24,666,20.2,366.15,9.53,24.36051295004229,50.0
157,1.0,12.2472,0.0,18.1,0,0.584,5.837000000000001,59.7,1.9976,24,666,20.2,24.65,15.69,17.835966055780226,10.2
158,1.0,4.541919999999999,0.0,18.1,0,0.77,6.398,88.0,2.5182,24,666,20.2,374.56,7.79,21.21944159986656,25.0
162,1.0,8.15174,0.0,18.1,0,0.7,5.39,98.9,1.7281,24,666,20.2,396.9,20.85,16.011874590691804,11.5
163,1.0,4.812130000000001,0.0,18.1,0,0.713,6.7010000000000005,90.0,2.5975,24,666,20.2,255.23,16.42,15.739681630750866,16.4
167,1.0,45.7461,0.0,18.1,0,0.693,4.519,100.0,1.6582,24,666,20.2,88.27,36.98,0.24787455851450704,7.0
174,1.0,11.9511,0.0,18.1,0,0.659,5.608,100.0,1.2852,24,666,20.2,332.09,12.13,21.98786814505284,27.9
176,1.0,22.5971,0.0,18.1,0,0.7,5.0,89.5,1.5184,24,666,20.2,396.9,31.99,7.520285465060426,7.4
182,1.0,0.13262,0.0,8.56,0,0.52,5.851,96.7,2.1069,5,384,20.9,394.05,16.47,20.056056235708567,19.5
196,1.0,0.26363,0.0,8.56,0,0.52,6.229,91.2,2.5451,5,384,20.9,391.23,15.55,19.78270333548199,19.4
198,1.0,9.72418,0.0,18.1,0,0.74,6.406000000000001,97.2,2.0651,24,666,20.2,385.96,19.52,14.265446577825571,17.1
199,1.0,14.4383,0.0,18.1,0,0.597,6.852,100.0,1.4655,24,666,20.2,179.36,19.78,15.668087606564525,27.5
202,1.0,4.87141,0.0,18.1,0,0.614,6.484,93.6,2.3053,24,666,20.2,396.21,18.68,18.188983158203065,16.7
203,1.0,15.288,0.0,18.1,0,0.6709999999999999,6.649,93.3,1.3449,24,666,20.2,363.02,23.24,12.977768576486659,13.9
205,1.0,6.96215,0.0,18.1,0,0.7,5.712999999999999,97.0,1.9265,24,666,20.2,394.43,17.11,18.044991548999434,15.1
208,1.0,0.22876,0.0,8.56,0,0.52,6.405,85.4,2.7147,5,384,20.9,70.8,10.63,20.350780470684075,18.6
210,1.0,6.65492,0.0,18.1,0,0.713,6.317,83.0,2.7344,24,666,20.2,396.9,13.99,18.30675846824084,19.5
225,1.0,17.8667,0.0,18.1,0,0.6709999999999999,6.223,100.0,1.3861,24,666,20.2,393.74,21.78,14.396649685710537,10.2
227,1.0,14.2362,0.0,18.1,0,0.693,6.343,100.0,1.5741,24,666,20.2,396.9,20.32,14.96584515615877,7.2
231,1.0,16.8118,0.0,18.1,0,0.7,5.277,98.1,1.4261,24,666,20.2,396.9,30.81,8.858965221163372,7.2
232,1.0,15.8603,0.0,18.1,0,0.679,5.896,95.4,1.9096,24,666,20.2,7.68,24.39,9.874649428659335,8.3
242,1.0,8.49213,0.0,18.1,0,0.584,6.348,86.1,2.0527,24,666,20.2,83.45,17.64,17.23332732992627,14.5
244,1.0,4.64689,0.0,18.1,0,0.614,6.98,67.6,2.5329,24,666,20.2,374.68,11.66,21.52426074016856,29.8
247,1.0,4.668830000000001,0.0,18.1,0,0.713,5.976,87.9,2.5806,24,666,20.2,10.48,19.01,13.101963511921433,12.7
249,1.0,23.6482,0.0,18.1,0,0.6709999999999999,6.38,96.2,1.3861,24,666,20.2,396.9,23.69,12.287918130918644,13.1
255,1.0,8.71675,0.0,18.1,0,0.693,6.471,98.8,1.7257,24,666,20.2,391.98,17.12,17.370528006715894,13.1
258,1.0,37.6619,0.0,18.1,0,0.679,6.202000000000001,78.7,1.8629,24,666,20.2,18.82,14.52,13.414008267680597,10.9
260,1.0,5.82115,0.0,18.1,0,0.713,6.513,89.9,2.8016,24,666,20.2,393.82,10.29,20.654565122169984,20.2
261,1.0,22.0511,0.0,18.1,0,0.74,5.818,92.4,1.8662,24,666,20.2,391.45,22.11,11.934483472024652,10.5
264,1.0,8.20058,0.0,18.1,0,0.713,5.936,80.3,2.7792,24,666,20.2,3.5,16.94,13.77556636512957,13.5
276,1.0,9.59571,0.0,18.1,0,0.693,6.404,100.0,1.639,24,666,20.2,376.11,20.31,15.229904080730341,12.1
278,1.0,6.80117,0.0,18.1,0,0.713,6.081,84.4,2.7175,24,666,20.2,396.9,14.7,18.11478031148746,20.0
281,1.0,9.82349,0.0,18.1,0,0.6709999999999999,6.794,98.8,1.358,24,666,20.2,396.9,21.24,15.062702947811289,13.3
282,1.0,12.8023,0.0,18.1,0,0.74,5.854,96.6,1.8956,24,666,20.2,240.52,23.79,10.82000908891148,10.8
290,1.0,15.8744,0.0,18.1,0,0.6709999999999999,6.545,99.1,1.5192,24,666,20.2,396.9,21.08,14.635242404303792,10.9
292,1.0,6.71772,0.0,18.1,0,0.713,6.749,92.6,2.3236,24,666,20.2,0.32,17.44,13.280725771608957,13.4
293,1.0,41.5292,0.0,18.1,0,0.693,5.531000000000001,85.4,1.6074,24,666,20.2,329.46,27.38,7.413897783735203,8.5
294,1.0,14.3337,0.0,18.1,0,0.7,4.88,100.0,1.5895,24,666,20.2,372.92,30.62,9.422053724719753,10.2
297,1.0,0.11432,0.0,8.56,0,0.52,6.781000000000001,71.3,2.8561,5,384,20.9,395.58,7.67,23.829286657291195,26.5
298,1.0,51.1358,0.0,18.1,0,0.597,5.757000000000001,100.0,1.413,24,666,20.2,2.6,10.11,17.87764444622195,15.0
299,1.0,9.92485,0.0,18.1,0,0.74,6.251,96.6,2.198,24,666,20.2,388.52,16.44,16.3317663005318,12.6
305,1.0,9.39063,0.0,18.1,0,0.74,5.627000000000001,93.9,1.8172,24,666,20.2,396.9,22.88,13.15411979739404,12.8
320,1.0,5.66637,0.0,18.1,0,0.74,6.218999999999999,100.0,2.0048,24,666,20.2,395.69,16.59,17.003263375098964,18.4
329,1.0,9.91655,0.0,18.1,0,0.693,5.852,77.8,1.5004,24,666,20.2,338.16,29.97,8.931297009523314,6.3
330,1.0,15.1772,0.0,18.1,0,0.74,6.152,100.0,1.9142,24,666,20.2,9.32,26.45,6.91356378546249,8.7
340,1.0,7.36711,0.0,18.1,0,0.679,6.193,78.1,1.9356,24,666,20.2,96.73,21.52,12.705515135211447,11.0
344,1.0,4.75237,0.0,18.1,0,0.713,6.525,86.5,2.4358,24,666,20.2,50.92,18.13,13.454053578717025,14.1
351,1.0,6.288069999999999,0.0,18.1,0,0.74,6.341,96.4,2.072,24,666,20.2,318.01,17.79,15.359902627476375,14.9
353,1.0,5.58107,0.0,18.1,0,0.713,6.436,87.9,2.3158,24,666,20.2,100.19,16.22,15.171453190133487,14.3
359,1.0,18.4982,0.0,18.1,0,0.6679999999999999,4.138,100.0,1.137,24,666,20.2,396.9,37.97,6.243447353204121,13.8
360,1.0,3.56868,0.0,18.1,0,0.58,6.437,75.0,2.8965,24,666,20.2,393.37,14.36,21.258317068365567,23.2
365,1.0,0.14866,0.0,8.56,0,0.52,6.727,79.9,2.7778,5,384,20.9,394.76,9.42,22.934137251415514,27.5
366,1.0,7.05042,0.0,18.1,0,0.614,6.103,85.1,2.0218,24,666,20.2,2.52,23.29,12.659651041443045,13.4
376,1.0,15.0234,0.0,18.1,0,0.614,5.303999999999999,97.3,2.1007,24,666,20.2,349.48,24.91,14.130353728634052,12.0
382,1.0,3.77498,0.0,18.1,0,0.655,5.952000000000001,84.7,2.8715,24,666,20.2,22.01,17.15,15.668222285539267,19.0
385,1.0,6.44405,0.0,18.1,0,0.584,6.425,74.8,2.2004,24,666,20.2,97.95,12.03,20.856193051194936,16.1
386,1.0,11.5779,0.0,18.1,0,0.7,5.0360000000000005,97.0,1.77,24,666,20.2,396.9,25.68,12.777623461503714,9.7
389,1.0,0.10793,0.0,8.56,0,0.52,6.195,54.4,2.7778,5,384,20.9,393.49,13.0,20.733302058449897,21.7
394,1.0,14.3337,0.0,18.1,0,0.614,6.229,88.0,1.9512,24,666,20.2,383.32,13.11,21.15100692065874,21.4
395,1.0,9.32909,0.0,18.1,0,0.713,6.185,98.7,2.2616,24,666,20.2,396.9,18.13,16.066843894003572,14.1
403,1.0,7.40389,0.0,18.1,0,0.597,5.617000000000001,97.9,1.4547,24,666,20.2,314.64,26.4,14.362917911986164,17.2
405,1.0,11.0874,0.0,18.1,0,0.718,6.4110000000000005,100.0,1.8589,24,666,20.2,318.75,15.02,17.33526942714116,16.7
406,1.0,28.6558,0.0,18.1,0,0.597,5.155,100.0,1.5894,24,666,20.2,210.97,20.08,15.825053023191376,16.3
407,1.0,20.7162,0.0,18.1,0,0.659,4.138,100.0,1.1781,24,666,20.2,370.22,23.34,15.587341527542575,11.9
408,1.0,0.21161,0.0,8.56,0,0.52,6.1370000000000005,87.4,2.7147,5,384,20.9,394.47,13.44,21.09680560927782,19.3
412,1.0,5.29305,0.0,18.1,0,0.7,6.051,82.5,2.1678,24,666,20.2,378.38,18.76,16.24545948981247,23.2
431,1.0,25.9406,0.0,18.1,0,0.679,5.303999999999999,89.1,1.6475,24,666,20.2,127.36,26.64,8.846744891215005,10.4
434,1.0,10.6718,0.0,18.1,0,0.74,6.459,94.8,1.9879,24,666,20.2,43.06,23.98,8.799894430563883,11.8
439,1.0,7.52601,0.0,18.1,0,0.713,6.417000000000001,98.3,2.185,24,666,20.2,304.21,19.31,14.651120437639078,13.0
441,1.0,3.67822,0.0,18.1,0,0.77,5.362,96.2,2.1036,24,666,20.2,380.79,10.19,21.36100963501037,20.8
442,1.0,11.1081,0.0,18.1,0,0.6679999999999999,4.906000000000001,100.0,1.1742,24,666,20.2,396.9,34.77,8.31480896802385,13.8
445,1.0,7.75223,0.0,18.1,0,0.713,6.301,83.7,2.7831,24,666,20.2,272.21,16.23,15.83307182688989,14.9
448,1.0,13.6781,0.0,18.1,0,0.74,5.935,87.9,1.8206,24,666,20.2,68.95,34.02,2.6433608438814544,8.4
