,sex,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,rings
1446,F,0.655,0.5,0.22,1.359,0.642,0.3255,0.405,13
1447,F,0.675,0.555,0.205,1.925,0.713,0.358,0.4535,13
1451,M,0.665,0.535,0.225,2.1835,0.7535,0.391,0.885,27
1458,M,0.665,0.535,0.155,1.383,0.596,0.2565,0.485,14
1466,M,0.76,0.575,0.19,1.829,0.7035,0.386,0.56,14
1476,I,0.485,0.345,0.16,0.8690000000000001,0.3085,0.185,0.319,9
1490,F,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15
1494,M,0.645,0.5,0.18,1.461,0.5985,0.2425,0.439,11
1499,F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15
1508,F,0.62,0.52,0.225,1.1835,0.3779999999999999,0.27,0.395,23
1515,M,0.615,0.485,0.215,0.9615,0.422,0.176,0.29,11
1527,F,0.7,0.55,0.17,1.6840000000000002,0.7535,0.3265,0.32,11
1537,M,0.74,0.58,0.205,2.381,0.8155,0.4695,0.488,12
1542,I,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,5
1569,M,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,7
1580,F,0.67,0.545,0.16,1.5415,0.5985,0.2565,0.495,15
1585,F,0.725,0.565,0.21,2.1425,1.03,0.487,0.503,14
1621,F,0.66,0.565,0.195,1.7605,0.6920000000000001,0.3265,0.5,16
1638,M,0.71,0.575,0.215,2.009,0.9895,0.4475,0.502,11
1676,M,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545,16
1682,I,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315,5
1697,F,0.74,0.565,0.205,2.119,0.9655,0.5185,0.482,12
1702,F,0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,12
1703,M,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,13
1707,F,0.65,0.525,0.19,1.385,0.8875,0.3095,0.405,11
1711,M,0.64,0.525,0.185,1.707,0.763,0.4205,0.4435,11
1723,F,0.72,0.55,0.195,2.073,1.0715,0.4265,0.5015,9
1728,M,0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,9
1731,M,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,11
1741,F,0.675,0.565,0.195,1.8375,0.7645,0.3615,0.5529999999999999,12
1746,F,0.565,0.45,0.185,0.9285,0.302,0.1805,0.265,12
1760,F,0.675,0.525,0.17,1.8095,0.784,0.391,0.455,12
1761,F,0.7,0.535,0.175,1.773,0.6805,0.48,0.512,15
1786,M,0.625,0.485,0.17,1.4369999999999998,0.5855,0.293,0.475,11
1789,F,0.815,0.65,0.25,2.255,0.8905,0.42,0.7975,14
1836,F,0.63,0.475,0.175,1.423,0.4155,0.3385,0.49,14
1865,M,0.62,0.495,0.175,1.806,0.643,0.3285,0.725,17
1874,M,0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,12
1891,M,0.515,0.4,0.125,0.955,0.341,0.2535,0.26,13
1896,M,0.7,0.58,0.205,2.13,0.7415,0.49,0.58,20
1897,M,0.5,0.37,0.15,1.0615,0.494,0.223,0.296,9
1901,M,0.64,0.585,0.195,1.6469999999999998,0.7225,0.331,0.471,12
1902,M,0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,12
1910,F,0.57,0.465,0.18,1.295,0.3389999999999999,0.2225,0.44,12
1912,F,0.615,0.5,0.175,1.3769999999999998,0.5585,0.33,0.292,12
1916,M,0.615,0.495,0.155,1.2865,0.435,0.293,0.3245,11
1920,M,0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135,10
1922,F,0.595,0.465,0.15,0.98,0.4115,0.196,0.2255,10
1924,F,0.575,0.465,0.195,0.9965,0.417,0.247,0.47,8
1932,F,0.71,0.565,0.195,1.817,0.785,0.492,0.49,11
1939,M,0.585,0.405,0.15,1.2565,0.435,0.2019999999999999,0.325,15
1956,M,0.625,0.47,0.145,1.7855,0.675,0.247,0.3245,13
1961,F,0.485,0.365,0.15,0.9145,0.4145,0.1989999999999999,0.273,7
1974,I,0.325,0.225,0.075,0.139,0.0565,0.032,0.09,6
1975,M,0.51,0.41,0.155,1.2825,0.569,0.291,0.3795,9
1998,F,0.75,0.55,0.195,1.8325,0.83,0.366,0.44,11
1999,F,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475,11
2012,M,0.63,0.51,0.23,1.539,0.5635,0.2815,0.57,17
2013,M,0.39,0.28,0.125,0.564,0.3035,0.0955,0.143,7
2017,M,0.645,0.515,0.175,1.6115,0.6745,0.384,0.385,14
2031,I,0.635,0.5,0.18,1.319,0.5485,0.292,0.49,16
2034,M,0.765,0.6,0.22,2.302,1.007,0.509,0.6205,12
2053,M,0.7,0.575,0.19,2.273,1.095,0.418,0.638,12
2054,M,0.49,0.355,0.155,0.981,0.465,0.2015,0.2505,8
2085,F,0.595,0.495,0.185,1.285,0.416,0.2239999999999999,0.485,13
2087,M,0.69,0.525,0.2,1.7825,0.9165,0.3325,0.461,12
2089,I,0.725,0.55,0.22,2.0495,0.7735,0.4405,0.655,10
2113,M,0.525,0.365,0.17,0.9605,0.4379999999999999,0.2225,0.276,10
2125,I,0.32,0.215,0.095,0.305,0.14,0.067,0.0885,6
2137,F,0.29,0.21,0.075,0.275,0.113,0.0675,0.035,6
2138,M,0.52,0.4,0.165,0.8565,0.2745,0.201,0.21,12
2142,M,0.75,0.595,0.205,2.2205,1.083,0.421,0.63,12
2150,M,0.48,0.355,0.16,0.4639999999999999,0.221,0.106,0.239,8
2159,F,0.71,0.545,0.175,1.907,0.8725,0.4565,0.475,11
2173,I,0.275,0.175,0.09,0.2315,0.096,0.057,0.0705,5
2175,F,0.63,0.49,0.17,1.2155,0.4625,0.2045,0.3105,10
2178,F,0.64,0.54,0.175,1.571,0.627,0.271,0.475,18
2193,M,0.515,0.38,0.175,0.9565,0.325,0.158,0.31,14
2207,M,0.695,0.55,0.205,2.173,1.133,0.4665,0.496,10
2212,M,0.49,0.38,0.14,0.7605,0.245,0.1669999999999999,0.185,10
2215,M,0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,16
2219,M,0.68,0.54,0.195,1.7825,0.5565,0.3235,0.4285,11
2221,F,0.625,0.49,0.155,1.2085,0.465,0.162,0.411,11
2223,I,0.35,0.25,0.1,0.4015,0.1725,0.063,0.1255,7
2237,F,0.6,0.47,0.2,1.031,0.392,0.2035,0.29,15
2239,F,0.65,0.59,0.22,1.662,0.77,0.3779999999999999,0.435,11
2246,M,0.6,0.49,0.21,1.9875,1.005,0.419,0.491,10
2253,F,0.75,0.615,0.205,2.2635,0.821,0.423,0.726,12
2255,M,0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235,13
2264,F,0.72,0.575,0.215,2.226,0.8955,0.405,0.62,13
2269,F,0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,20
2281,F,0.635,0.495,0.175,1.211,0.7070000000000001,0.2725,0.3229999999999999,9
2292,M,0.735,0.57,0.21,2.2355,1.1705,0.4629999999999999,0.5315,10
2299,M,0.72,0.565,0.2,2.1055,1.017,0.363,0.494,12
2302,F,0.55,0.38,0.165,1.205,0.5429999999999999,0.294,0.3345,10
2311,M,0.645,0.515,0.24,1.5415,0.471,0.369,0.535,13
2313,M,0.56,0.45,0.155,0.9125,0.3595,0.271,0.35,10
2379,F,0.72,0.595,0.225,1.969,0.8045,0.423,0.66,16
2383,F,0.62,0.51,0.15,1.456,0.581,0.2875,0.32,13
2393,F,0.58,0.45,0.235,1.071,0.3,0.206,0.395,14
2402,F,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,17
2407,I,0.45,0.335,0.105,0.447,0.2335,0.153,0.119,7
2409,I,0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,8
2430,M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14
2431,M,0.765,0.585,0.18,2.398,1.128,0.512,0.5335,12
2432,F,0.58,0.455,0.165,1.1365,0.369,0.3005,0.275,13
2449,F,0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,14
2460,F,0.73,0.56,0.19,1.9425,0.799,0.5195,0.5655,11
2465,F,0.53,0.42,0.13,1.001,0.34,0.226,0.265,17
2475,F,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,17
2488,M,0.64,0.565,0.23,1.521,0.644,0.372,0.406,15
2495,M,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35,6
2500,M,0.685,0.52,0.15,1.3430000000000002,0.4635,0.292,0.4,13
2516,F,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525,17
2531,F,0.73,0.55,0.205,1.908,0.5415,0.3565,0.5965,14
2556,F,0.625,0.49,0.11,1.136,0.5265,0.1915,0.2925,9
2564,M,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,12
2566,F,0.695,0.53,0.2,2.0475,0.75,0.4195,0.6095,14
2576,M,0.75,0.555,0.215,2.201,1.0615,0.5235,0.5285,11
2587,F,0.67,0.52,0.195,1.8065,0.758,0.3735,0.5055,11
2590,F,0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525,9
2596,F,0.625,0.525,0.195,1.352,0.4505,0.2445,0.53,13
2605,M,0.67,0.51,0.18,1.68,0.926,0.2975,0.3935,13
2617,M,0.54,0.425,0.12,0.8170000000000001,0.2945,0.153,0.195,10
2618,F,0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565,10
2622,M,0.71,0.56,0.175,1.724,0.5660000000000001,0.4575,0.4625,13
2632,F,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,27
2653,F,0.6,0.475,0.135,1.4405,0.5885,0.191,0.3175,9
2669,F,0.625,0.49,0.19,1.7015,0.7465,0.4105,0.3855,11
2679,I,0.4,0.31,0.1,0.127,0.106,0.071,0.085,7
2682,M,0.73,0.585,0.225,2.2305,1.2395,0.422,0.563,14
2709,M,0.65,0.485,0.14,1.175,0.475,0.2435,0.215,8
2713,F,0.735,0.565,0.205,2.1275,0.949,0.46,0.565,12
2719,M,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,15
2728,I,0.625,0.43,0.175,1.411,0.5720000000000001,0.297,0.395,12
2734,M,0.775,0.57,0.22,2.032,0.735,0.4755,0.6585,17
2748,M,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,14
2749,F,0.72,0.575,0.195,2.1505,1.0745,0.382,0.585,10
2758,F,0.52,0.395,0.18,0.64,0.158,0.11,0.245,22
2764,M,0.535,0.405,0.175,1.2705,0.5479999999999999,0.3265,0.337,13
2791,I,0.315,0.23,0.0,0.134,0.0575,0.0285,0.3505,6
2845,I,0.425,0.325,0.1,0.3979999999999999,0.1185,0.0645,0.0945,6
2846,I,0.455,0.435,0.11,0.4265,0.195,0.09,0.1205,8
2857,F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9
2867,M,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,14
2883,M,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,11
2905,M,0.655,0.51,0.215,1.7835,0.8885,0.4095,0.4195,11
2911,F,0.69,0.54,0.195,1.2525,0.73,0.3975,0.462,12
2922,F,0.725,0.58,0.185,1.523,0.8045,0.3595,0.4375,9
2925,F,0.655,0.46,0.16,1.494,0.6895,0.331,0.1825,9
2936,M,0.64,0.575,0.175,1.4585,0.625,0.266,0.4395,11
2955,F,0.62,0.47,0.225,1.115,0.3779999999999999,0.2145,0.36,15
2956,F,0.685,0.525,0.175,1.71,0.5415,0.309,0.58,16
2958,F,0.595,0.495,0.235,1.366,0.5065,0.2189999999999999,0.52,13
2974,F,0.59,0.455,0.165,1.161,0.38,0.2455,0.28,12
2986,M,0.695,0.55,0.22,1.5515,0.5660000000000001,0.3835,0.445,13
3004,F,0.645,0.51,0.18,1.6195,0.7815,0.322,0.4675,12
3016,M,0.65,0.495,0.18,1.793,0.8005,0.3389999999999999,0.53,14
3035,F,0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745,10
3036,F,0.68,0.5,0.185,1.741,0.7665,0.3255,0.4685,12
3053,F,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11
3058,F,0.7,0.545,0.13,1.556,0.6725,0.374,0.195,12
3073,F,0.695,0.535,0.175,1.8385,0.8035,0.396,0.503,10
3076,M,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8
3085,I,0.485,0.365,0.14,0.4475,0.1895,0.0925,0.2305,8
3086,I,0.375,0.245,0.1,0.3939999999999999,0.166,0.091,0.1125,6
3090,F,0.55,0.465,0.15,1.082,0.3575,0.1939999999999999,0.19,14
3100,F,0.54,0.44,0.135,0.959,0.2385,0.221,0.3,17
3104,M,0.465,0.405,0.135,0.7775,0.436,0.1715,0.1455,10
3108,M,0.66,0.505,0.19,1.4385,0.6775,0.285,0.178,11
3112,M,0.47,0.37,0.12,0.5795,0.293,0.2269999999999999,0.14,9
3139,F,0.695,0.525,0.205,1.8185,0.8190000000000001,0.4025,0.4525,13
3145,F,0.55,0.415,0.18,1.1655,0.502,0.301,0.311,9
3169,M,0.705,0.55,0.21,1.4385,0.655,0.3255,0.462,11
3183,F,0.735,0.565,0.225,2.037,0.87,0.5145,0.5675,13
3192,F,0.59,0.445,0.13,1.1325,0.3825,0.2339999999999999,0.32,13
3206,M,0.725,0.55,0.2,1.51,0.8735,0.4265,0.5085,9
3224,M,0.77,0.6,0.215,2.1945,1.0515,0.482,0.584,10
3228,F,0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,22
3235,M,0.6,0.46,0.155,0.6655,0.285,0.149,0.2689999999999999,11
3242,F,0.5,0.385,0.13,0.768,0.2625,0.095,0.27,13
3249,F,0.605,0.495,0.19,1.4369999999999998,0.469,0.2655,0.41,15
3258,F,0.655,0.545,0.165,1.6225,0.6555,0.299,0.513,12
3263,F,0.655,0.53,0.19,1.4280000000000002,0.493,0.318,0.565,18
3266,F,0.68,0.56,0.195,1.664,0.58,0.3855,0.545,11
3293,F,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935,10
3332,F,0.71,0.575,0.175,1.555,0.6465,0.3705,0.52,15
3333,F,0.535,0.4,0.15,1.224,0.618,0.275,0.2875,10
3343,M,0.65,0.52,0.195,1.676,0.693,0.44,0.47,15
3344,M,0.7,0.6,0.23,2.003,0.8105,0.4045,0.5755,10
3349,M,0.62,0.495,0.195,1.5145,0.579,0.346,0.5195,15
3364,F,0.65,0.545,0.23,1.7519999999999998,0.5605,0.2895,0.815,16
3379,M,0.72,0.6,0.235,2.2385,0.984,0.411,0.621,12
3381,M,0.72,0.565,0.19,2.081,1.0815,0.4305,0.503,11
3385,M,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295,10
3399,F,0.75,0.57,0.21,2.236,1.109,0.5195,0.545,11
3401,M,0.58,0.455,0.195,1.859,0.945,0.426,0.441,9
3427,M,0.58,0.46,0.155,1.4395,0.6715,0.273,0.2955,10
3446,I,0.405,0.31,0.11,0.91,0.416,0.2075,0.0995,8
3451,I,0.28,0.12,0.075,0.1169999999999999,0.0455,0.0289999999999999,0.0345,4
3456,F,0.51,0.37,0.21,1.183,0.508,0.292,0.3429999999999999,9
3462,M,0.77,0.62,0.195,2.5155,1.1155,0.6415,0.642,12
3464,M,0.7,0.525,0.175,1.7585,0.8745,0.3615,0.47,10
3466,F,0.705,0.545,0.17,1.58,0.6435,0.4565,0.265,11
3481,F,0.71,0.5,0.15,1.3165,0.6835,0.2815,0.28,10
3482,I,0.475,0.365,0.1,0.1315,0.2025,0.0875,0.123,7
3500,M,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,8
3505,F,0.68,0.57,0.205,1.842,0.625,0.408,0.65,20
3506,I,0.375,0.28,0.08,0.2165,0.0935,0.0925,0.07,7
3509,M,0.71,0.56,0.22,2.015,0.9215,0.4539999999999999,0.5660000000000001,11
3514,F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21
