,sex,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,rings
267,I,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,8
271,M,0.48,0.36,0.1,0.439,0.1939999999999999,0.099,0.115,8
272,I,0.585,0.42,0.145,0.6735,0.2895,0.1345,0.22,9
276,I,0.39,0.3,0.1,0.3085,0.1385,0.0735,0.085,6
278,F,0.51,0.375,0.11,0.5805,0.2865,0.118,0.148,7
280,I,0.53,0.405,0.12,0.632,0.2715,0.148,0.1875,9
289,I,0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405,7
292,I,0.435,0.33,0.095,0.3929999999999999,0.2189999999999999,0.075,0.0885,6
297,F,0.455,0.365,0.11,0.385,0.166,0.046,0.1345,13
300,M,0.49,0.385,0.125,0.649,0.32,0.124,0.1695,8
302,I,0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,8
305,I,0.44,0.305,0.115,0.379,0.162,0.091,0.11,9
308,I,0.515,0.405,0.13,0.573,0.213,0.134,0.195,9
313,F,0.51,0.4,0.12,0.7005,0.347,0.1105,0.195,10
315,F,0.525,0.4,0.13,0.6995,0.3115,0.131,0.223,9
316,M,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8
317,I,0.5,0.39,0.125,0.583,0.294,0.132,0.1605,8
318,I,0.475,0.34,0.105,0.4535,0.203,0.08,0.1465,9
319,I,0.455,0.335,0.135,0.501,0.2739999999999999,0.0995,0.1065,7
321,I,0.58,0.445,0.125,0.7095,0.303,0.1405,0.235,9
322,F,0.57,0.43,0.16,0.8109999999999999,0.3875,0.159,0.2285,9
323,I,0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125,8
327,I,0.49,0.4,0.135,0.624,0.3035,0.1285,0.1689999999999999,8
330,I,0.495,0.37,0.125,0.4775,0.185,0.0705,0.1689999999999999,18
332,F,0.525,0.41,0.115,0.7745,0.416,0.163,0.18,7
333,I,0.49,0.385,0.12,0.591,0.271,0.1125,0.1775,9
335,M,0.46,0.355,0.11,0.415,0.215,0.0819999999999999,0.13,12
337,I,0.53,0.43,0.13,0.7045,0.346,0.1415,0.1889999999999999,9
345,F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11
347,M,0.44,0.325,0.115,0.39,0.163,0.087,0.113,7
350,M,0.46,0.355,0.14,0.491,0.207,0.115,0.174,10
352,F,0.435,0.335,0.11,0.38,0.1695,0.086,0.11,9
353,M,0.61,0.475,0.155,0.983,0.4565,0.228,0.266,10
355,M,0.56,0.415,0.145,0.852,0.43,0.1885,0.205,8
357,I,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8
359,I,0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086,7
361,F,0.565,0.45,0.16,0.795,0.3605,0.1555,0.23,12
363,F,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,10
366,F,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,11
368,F,0.585,0.455,0.13,0.8755,0.411,0.2065,0.225,8
371,I,0.515,0.39,0.11,0.531,0.2415,0.098,0.1615,8
373,M,0.57,0.45,0.14,0.795,0.3385,0.148,0.245,9
375,M,0.36,0.295,0.105,0.241,0.0865,0.053,0.095,8
376,M,0.49,0.395,0.14,0.5489999999999999,0.2215,0.1275,0.15,11
381,M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7
386,I,0.46,0.35,0.11,0.3945,0.1685,0.0865,0.125,9
387,I,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,9
388,F,0.505,0.4,0.125,0.583,0.246,0.13,0.175,7
391,F,0.62,0.475,0.15,0.9545,0.455,0.1865,0.2769999999999999,9
393,I,0.46,0.34,0.09,0.384,0.1795,0.068,0.11,8
407,F,0.49,0.4,0.115,0.569,0.256,0.1325,0.145,9
412,I,0.445,0.33,0.1,0.437,0.163,0.0755,0.17,13
418,F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8
419,I,0.525,0.4,0.13,0.6455,0.325,0.1245,0.17,8
423,M,0.455,0.345,0.125,0.44,0.1689999999999999,0.1065,0.135,12
425,M,0.5,0.41,0.15,0.662,0.2815,0.1369999999999999,0.22,11
426,I,0.445,0.36,0.11,0.4235,0.182,0.0765,0.14,9
427,F,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195,16
430,I,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7
431,I,0.52,0.38,0.14,0.525,0.1775,0.115,0.185,11
440,F,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,9
442,F,0.45,0.35,0.135,0.56,0.231,0.1369999999999999,0.145,13
443,M,0.495,0.375,0.115,0.6245,0.282,0.143,0.155,6
446,M,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7
448,I,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,11
451,F,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10
455,I,0.37,0.285,0.095,0.226,0.1135,0.0515,0.0675,8
458,M,0.385,0.275,0.115,0.2685,0.0975,0.0825,0.085,8
461,I,0.54,0.42,0.14,0.6275,0.2505,0.1175,0.235,9
469,I,0.475,0.365,0.125,0.5465,0.2289999999999999,0.1185,0.172,9
471,I,0.58,0.425,0.145,0.83,0.379,0.1605,0.2575,11
473,I,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,15
476,F,0.465,0.35,0.115,0.421,0.1565,0.091,0.1345,9
482,I,0.525,0.405,0.145,0.6965,0.3045,0.1535,0.21,8
486,I,0.525,0.395,0.12,0.608,0.297,0.1395,0.1405,8
490,I,0.425,0.31,0.095,0.3075,0.139,0.0745,0.093,7
491,I,0.44,0.32,0.105,0.3875,0.1755,0.074,0.12,9
494,I,0.425,0.325,0.105,0.3975,0.1815,0.081,0.1175,7
499,F,0.5,0.38,0.14,0.6355,0.2769999999999999,0.143,0.1785,8
501,I,0.44,0.35,0.125,0.456,0.21,0.0955,0.131,8
503,F,0.505,0.405,0.16,0.6835,0.271,0.145,0.215,10
504,I,0.46,0.36,0.105,0.466,0.2225,0.099,0.11,7
508,I,0.42,0.32,0.11,0.3625,0.174,0.0635,0.105,7
510,F,0.61,0.45,0.13,0.8725,0.389,0.1715,0.272,11
511,F,0.51,0.4,0.13,0.5735,0.2189999999999999,0.1365,0.195,13
514,I,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6
517,F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8
518,I,0.425,0.31,0.105,0.365,0.159,0.0825,0.105,6
519,F,0.505,0.375,0.115,0.5895,0.2635,0.12,0.1669999999999999,10
522,I,0.555,0.43,0.125,0.7005,0.3395,0.1355,0.2095,8
527,F,0.545,0.41,0.125,0.654,0.2945,0.1315,0.205,10
540,F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11
541,I,0.52,0.41,0.11,0.5185,0.2165,0.0915,0.184,8
543,F,0.53,0.385,0.125,0.6695,0.289,0.151,0.18,10
546,I,0.515,0.4,0.14,0.7165,0.3495,0.1595,0.1785,8
550,M,0.36,0.295,0.1,0.2105,0.066,0.0525,0.075,9
551,I,0.5,0.365,0.125,0.528,0.2289999999999999,0.103,0.1645,9
557,M,0.415,0.325,0.14,0.417,0.1535,0.1015,0.144,10
559,F,0.58,0.445,0.145,0.888,0.41,0.1815,0.2425,8
560,I,0.555,0.43,0.15,0.7829999999999999,0.345,0.1755,0.247,9
569,M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10
572,I,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8
573,I,0.47,0.345,0.115,0.4885,0.2005,0.108,0.166,11
574,I,0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365,6
579,I,0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225,9
584,M,0.515,0.4,0.14,0.6335,0.288,0.145,0.168,9
588,M,0.575,0.445,0.145,0.847,0.415,0.1945,0.22,9
589,I,0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077,5
593,I,0.58,0.445,0.15,0.8865,0.3829999999999999,0.209,0.255,11
595,I,0.385,0.3,0.125,0.3429999999999999,0.1705,0.0735,0.081,7
599,M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9
602,I,0.4,0.32,0.095,0.348,0.1939999999999999,0.053,0.087,6
605,M,0.49,0.39,0.15,0.573,0.225,0.124,0.17,21
608,M,0.505,0.39,0.115,0.5585,0.2575,0.119,0.1535,8
609,M,0.43,0.33,0.095,0.34,0.1315,0.085,0.1119999999999999,14
610,I,0.565,0.43,0.125,0.6545,0.2815,0.139,0.21,9
614,I,0.52,0.415,0.14,0.6385,0.2945,0.1405,0.171,8
615,M,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,9
617,M,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155,8
618,I,0.44,0.33,0.11,0.3705,0.1545,0.084,0.12,7
623,F,0.5,0.39,0.13,0.6355,0.2505,0.1635,0.195,15
626,M,0.505,0.385,0.115,0.4825,0.21,0.1035,0.1535,10
630,F,0.475,0.365,0.115,0.5660000000000001,0.281,0.1169999999999999,0.1335,7
632,I,0.46,0.365,0.115,0.511,0.2365,0.118,0.123,7
636,I,0.38,0.28,0.095,0.2885,0.165,0.0435,0.067,7
638,I,0.46,0.345,0.115,0.4215,0.1895,0.102,0.111,6
643,M,0.525,0.4,0.155,0.7070000000000001,0.282,0.1605,0.225,9
649,M,0.425,0.305,0.11,0.359,0.173,0.0875,0.0975,9
650,M,0.6,0.48,0.165,0.9165,0.4135,0.1965,0.2725,9
658,I,0.455,0.375,0.125,0.5329999999999999,0.233,0.106,0.185,8
666,I,0.39,0.3,0.095,0.3265,0.1665,0.0575,0.089,7
669,F,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,10
674,I,0.555,0.435,0.145,0.6975,0.262,0.1575,0.24,11
680,I,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745,7
687,I,0.54,0.415,0.155,0.7020000000000001,0.322,0.1669999999999999,0.19,10
690,I,0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535,8
692,M,0.555,0.44,0.145,0.85,0.4165,0.1685,0.23,8
696,I,0.48,0.355,0.125,0.494,0.2385,0.0835,0.15,9
700,F,0.375,0.295,0.11,0.3005,0.1255,0.0575,0.1035,7
701,I,0.485,0.355,0.105,0.498,0.2175,0.096,0.1525,9
702,I,0.465,0.365,0.115,0.467,0.2315,0.0925,0.113,7
705,F,0.595,0.46,0.16,0.921,0.4005,0.2025,0.2875,9
709,I,0.445,0.335,0.1,0.4895,0.2745,0.086,0.1105,7
711,I,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,9
714,I,0.505,0.4,0.125,0.5605,0.2255,0.1435,0.17,8
720,I,0.455,0.35,0.13,0.4725,0.215,0.0745,0.15,9
728,I,0.55,0.425,0.15,0.7665,0.3389999999999999,0.176,0.21,8
730,I,0.41,0.31,0.11,0.315,0.124,0.0819999999999999,0.095,9
732,I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7
734,I,0.515,0.395,0.125,0.5805,0.2365,0.1075,0.19,9
740,F,0.49,0.36,0.11,0.5005,0.161,0.107,0.195,17
750,F,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,9
761,I,0.485,0.375,0.11,0.4639999999999999,0.2015,0.09,0.149,8
763,I,0.475,0.35,0.115,0.498,0.2375,0.099,0.14,7
766,M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
767,M,0.525,0.4,0.13,0.622,0.2655,0.147,0.184,9
769,M,0.48,0.38,0.13,0.6175,0.3,0.142,0.175,12
770,M,0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,8
773,F,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,15
776,I,0.575,0.45,0.135,0.8715,0.45,0.162,0.225,10
781,I,0.59,0.46,0.145,0.9015,0.419,0.1785,0.26,11
785,M,0.57,0.455,0.155,0.8320000000000001,0.3585,0.174,0.2769999999999999,11
790,I,0.53,0.38,0.125,0.616,0.292,0.113,0.185,8
793,I,0.5,0.38,0.125,0.519,0.2485,0.1135,0.134,8
796,I,0.385,0.28,0.125,0.244,0.102,0.038,0.085,6
797,F,0.475,0.375,0.125,0.588,0.237,0.1715,0.155,10
798,F,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12
799,F,0.54,0.415,0.15,0.8115,0.3875,0.1875,0.2035,9
800,M,0.53,0.41,0.155,0.7155,0.2805,0.1685,0.214,11
803,I,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,6
804,I,0.5,0.38,0.135,0.594,0.2945,0.104,0.1565,9
808,M,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12
809,M,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9
813,I,0.415,0.325,0.1,0.4665,0.2285,0.1065,0.114,7
814,M,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10
815,I,0.415,0.315,0.09,0.3625,0.175,0.0835,0.093,6
818,I,0.445,0.33,0.12,0.347,0.12,0.084,0.105,11
819,M,0.59,0.47,0.145,0.9235,0.4545,0.173,0.254,9
822,M,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,8
823,I,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,8
825,I,0.47,0.375,0.125,0.5225,0.2265,0.104,0.162,8
826,M,0.59,0.455,0.155,0.8855,0.3879999999999999,0.188,0.275,10
834,I,0.445,0.31,0.09,0.336,0.1555,0.09,0.0855,7
837,I,0.54,0.395,0.135,0.6555,0.2705,0.155,0.192,9
841,M,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12
843,I,0.41,0.3,0.09,0.28,0.141,0.0575,0.075,8
846,M,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9
849,I,0.425,0.34,0.1,0.371,0.15,0.0865,0.115,8
853,F,0.545,0.43,0.16,0.8440000000000001,0.3945,0.1855,0.231,9
859,I,0.425,0.325,0.11,0.405,0.1695,0.092,0.1065,8
861,I,0.5,0.385,0.11,0.596,0.3015,0.104,0.151,8
863,I,0.455,0.375,0.12,0.497,0.2355,0.1055,0.1295,6
867,I,0.41,0.3,0.115,0.2595,0.0969999999999999,0.0515,0.08,10
875,I,0.5,0.38,0.11,0.5605,0.28,0.106,0.15,9
876,F,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,12
879,I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10
881,I,0.425,0.32,0.085,0.262,0.1235,0.067,0.0725,8
886,I,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,7
890,I,0.5,0.39,0.12,0.5955,0.2455,0.147,0.173,8
899,I,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,6
902,I,0.48,0.37,0.125,0.5435,0.244,0.1009999999999999,0.165,9
904,F,0.495,0.38,0.12,0.573,0.2655,0.1285,0.144,7
910,I,0.54,0.43,0.14,0.8195,0.3935,0.1725,0.2295,9
921,F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9
922,I,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102,6
923,I,0.5,0.375,0.12,0.529,0.2235,0.123,0.16,8
925,F,0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,9
928,F,0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11,11
930,M,0.565,0.43,0.13,0.784,0.3495,0.1885,0.213,9
935,I,0.46,0.35,0.11,0.4,0.176,0.083,0.1205,7
950,I,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15
954,I,0.515,0.375,0.14,0.6505,0.2495,0.141,0.2215,10
955,I,0.355,0.27,0.105,0.271,0.1425,0.0525,0.0735,9
958,M,0.425,0.325,0.1,0.3295,0.1365,0.0725,0.11,7
963,F,0.475,0.35,0.115,0.487,0.1939999999999999,0.1455,0.125,13
969,I,0.395,0.29,0.095,0.304,0.127,0.084,0.077,6
975,I,0.4,0.315,0.09,0.3245,0.151,0.073,0.088,8
983,F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9
984,F,0.485,0.375,0.145,0.5885,0.2385,0.1155,0.19,13
991,I,0.47,0.37,0.11,0.5555,0.25,0.115,0.163,8
994,I,0.425,0.325,0.11,0.317,0.135,0.048,0.09,8
998,I,0.565,0.435,0.145,0.8445,0.3975,0.158,0.255,9
1002,I,0.56,0.44,0.155,0.8109999999999999,0.3685,0.178,0.235,11
1007,I,0.405,0.3,0.11,0.32,0.172,0.044,0.093,7
1015,M,0.51,0.4,0.14,0.6905,0.259,0.151,0.23,10
1023,F,0.39,0.29,0.125,0.3055,0.121,0.0819999999999999,0.09,7
1028,M,0.555,0.4,0.13,0.7075,0.332,0.1585,0.18,7
1032,M,0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095,7
1040,I,0.385,0.3,0.09,0.308,0.1525,0.0559999999999999,0.0835,8
1044,M,0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535,7
1045,M,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16
1049,M,0.6,0.455,0.155,0.945,0.4365,0.2085,0.25,8
1050,M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7
1051,F,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,11
1053,I,0.405,0.305,0.105,0.3625,0.1565,0.0705,0.125,10
1054,I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12
1055,I,0.475,0.355,0.125,0.4865,0.2155,0.1105,0.142,9
1058,I,0.49,0.37,0.11,0.5379999999999999,0.271,0.1035,0.139,8
1069,I,0.44,0.35,0.12,0.375,0.1425,0.0965,0.115,9
1071,F,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,7
1076,I,0.56,0.425,0.145,0.688,0.3095,0.1305,0.2165,9
1080,M,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,8
1087,I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7
1089,F,0.52,0.375,0.135,0.5375,0.221,0.1169999999999999,0.17,8
1090,M,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,9
1091,I,0.495,0.375,0.12,0.589,0.3075,0.1215,0.1405,8
1093,I,0.42,0.315,0.11,0.4025,0.1855,0.083,0.1015,8
1095,I,0.515,0.42,0.15,0.6725,0.2555,0.1335,0.235,10
1098,M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7
1101,I,0.575,0.445,0.17,0.8015,0.3475,0.1465,0.25,9
1103,M,0.505,0.385,0.15,0.6415,0.246,0.152,0.215,12
1104,M,0.535,0.41,0.15,0.8105,0.345,0.187,0.24,11
1107,I,0.55,0.415,0.15,0.7915,0.3535,0.176,0.236,10
1115,I,0.42,0.32,0.1,0.34,0.1745,0.05,0.0945,8
1117,I,0.5,0.375,0.14,0.5495,0.248,0.1119999999999999,0.1585,7
1120,I,0.545,0.435,0.135,0.7715,0.372,0.148,0.2269999999999999,8
1121,F,0.625,0.49,0.145,0.92,0.437,0.1735,0.28,10
1122,I,0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2,13
1125,I,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,7
1128,M,0.465,0.355,0.105,0.4795,0.2269999999999999,0.124,0.125,8
1132,F,0.525,0.415,0.14,0.7240000000000001,0.3475,0.173,0.175,8
1136,I,0.48,0.365,0.1,0.461,0.2205,0.0835,0.135,8
1141,M,0.385,0.255,0.1,0.3175,0.1369999999999999,0.068,0.092,8
1149,I,0.405,0.25,0.09,0.2875,0.128,0.063,0.0805,7
1150,I,0.58,0.44,0.145,0.7905,0.3525,0.1645,0.242,10
1154,F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,8
1155,I,0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,7
1164,I,0.465,0.375,0.12,0.471,0.222,0.119,0.14,9
1167,F,0.5,0.405,0.15,0.5965,0.253,0.126,0.185,12
1169,F,0.605,0.485,0.165,0.9515,0.4535,0.193,0.2765,11
1171,M,0.48,0.37,0.135,0.6315,0.3445,0.1015,0.161,7
1172,M,0.51,0.405,0.125,0.6925,0.327,0.155,0.1805,7
1173,F,0.47,0.35,0.115,0.487,0.1955,0.127,0.155,8
1179,M,0.55,0.385,0.13,0.7275,0.3429999999999999,0.1625,0.19,8
1184,M,0.595,0.455,0.15,0.8859999999999999,0.4315,0.201,0.223,10
1187,I,0.51,0.4,0.145,0.5775,0.231,0.143,0.177,9
1188,F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10
1191,M,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.186,7
1193,I,0.425,0.325,0.11,0.3335,0.173,0.045,0.1,7
1202,M,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15
1203,I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8
1205,M,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,8
1208,I,0.5,0.385,0.155,0.762,0.3795,0.161,0.19,14
1209,I,0.565,0.46,0.155,0.8715,0.3755,0.215,0.25,10
1211,M,0.41,0.325,0.1,0.3555,0.146,0.072,0.105,9
1213,M,0.505,0.385,0.11,0.655,0.3185,0.15,0.185,9
1216,M,0.415,0.305,0.1,0.325,0.156,0.0505,0.091,6
1221,I,0.5,0.385,0.15,0.6265,0.2605,0.1665,0.16,10
1224,I,0.415,0.335,0.1,0.358,0.1689999999999999,0.067,0.105,7
1225,F,0.475,0.38,0.14,0.6890000000000001,0.3165,0.1315,0.1955,7
1226,M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10
1231,F,0.52,0.43,0.15,0.728,0.302,0.1575,0.235,11
1240,M,0.5,0.4,0.145,0.6025,0.216,0.138,0.21,11
1247,I,0.44,0.34,0.1,0.407,0.209,0.0735,0.103,7
1252,I,0.5,0.37,0.115,0.5745,0.306,0.1119999999999999,0.141,7
1255,I,0.47,0.375,0.12,0.487,0.196,0.099,0.135,8
1256,F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9
1270,I,0.465,0.355,0.11,0.474,0.23,0.1005,0.12,7
1273,M,0.57,0.435,0.13,0.7535,0.349,0.1755,0.1939999999999999,10
1275,I,0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325,10
1280,I,0.585,0.46,0.14,0.7635,0.326,0.153,0.265,9
1291,F,0.44,0.34,0.135,0.3975,0.1505,0.0945,0.135,8
1292,I,0.505,0.395,0.105,0.551,0.248,0.103,0.171,8
1296,M,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,10
1297,F,0.575,0.43,0.155,0.7955,0.3485,0.1925,0.22,9
