,sex,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,rings
478,F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13
479,M,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,11
480,M,0.555,0.46,0.16,0.86,0.3345,0.1935,0.275,10
481,M,0.595,0.49,0.185,1.185,0.482,0.2015,0.361,10
483,F,0.585,0.42,0.155,1.034,0.437,0.2225,0.32,11
484,F,0.64,0.515,0.205,1.5335,0.6635,0.3345,0.4025,9
488,F,0.48,0.38,0.145,0.59,0.2319999999999999,0.141,0.23,12
489,I,0.53,0.425,0.13,0.7809999999999999,0.3905,0.2005,0.215,9
493,F,0.635,0.505,0.165,1.251,0.5770000000000001,0.2269999999999999,0.3825,11
495,F,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10
496,F,0.65,0.49,0.155,1.122,0.545,0.228,0.3055,9
502,M,0.63,0.53,0.18,1.2795,0.618,0.256,0.315,9
505,F,0.62,0.51,0.18,1.233,0.5920000000000001,0.2739999999999999,0.322,10
507,F,0.615,0.475,0.155,1.004,0.4475,0.193,0.2895,10
516,M,0.67,0.545,0.2,1.7025,0.833,0.374,0.41,11
520,I,0.62,0.47,0.14,0.8565,0.3595,0.16,0.295,9
521,M,0.565,0.44,0.175,1.122,0.3929999999999999,0.2,0.375,20
523,M,0.75,0.55,0.18,1.893,0.942,0.397,0.445,11
525,F,0.61,0.49,0.17,1.1775,0.5655,0.2385,0.295,15
526,F,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.3979999999999999,11
528,F,0.68,0.55,0.19,1.807,0.8225,0.3655,0.515,11
531,M,0.6,0.465,0.2,1.259,0.6405,0.1985,0.357,9
532,F,0.545,0.445,0.175,0.8525,0.3465,0.1889999999999999,0.295,13
533,F,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22
534,F,0.6,0.465,0.165,0.8875,0.309,0.246,0.262,12
535,I,0.615,0.49,0.155,0.9885,0.4145,0.195,0.345,13
536,F,0.62,0.5,0.175,1.146,0.477,0.23,0.39,13
537,M,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,12
538,F,0.625,0.5,0.165,1.288,0.573,0.3035,0.315,9
539,F,0.58,0.45,0.17,0.9705,0.4615,0.2319999999999999,0.248,9
542,M,0.54,0.455,0.14,0.972,0.419,0.255,0.2689999999999999,10
544,F,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8
545,M,0.745,0.565,0.215,1.931,0.8959999999999999,0.4585,0.5,11
552,M,0.565,0.45,0.155,1.0595,0.4735,0.24,0.265,10
553,M,0.62,0.5,0.2,1.221,0.4605,0.263,0.43,12
555,F,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9
556,M,0.695,0.53,0.15,1.477,0.6375,0.3025,0.43,14
563,I,0.57,0.445,0.145,0.7405,0.306,0.172,0.1825,12
564,F,0.64,0.51,0.165,1.486,0.7595,0.332,0.321,8
566,M,0.565,0.45,0.115,0.9085,0.3979999999999999,0.1969999999999999,0.29,17
567,M,0.615,0.475,0.175,1.224,0.6035,0.261,0.311,9
568,F,0.515,0.435,0.17,0.631,0.2765,0.111,0.216,12
570,M,0.66,0.515,0.2,1.6465,0.7490000000000001,0.422,0.401,11
571,F,0.62,0.485,0.155,1.1945,0.5105,0.271,0.352,9
575,M,0.6,0.495,0.175,1.3005,0.6195,0.284,0.3285,11
576,M,0.55,0.45,0.15,1.0145,0.407,0.2015,0.2875,10
578,F,0.665,0.525,0.21,1.644,0.818,0.3395,0.4275,10
580,M,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6
582,M,0.685,0.545,0.205,1.7925,0.8145,0.416,0.461,9
583,M,0.57,0.445,0.16,1.0145,0.516,0.1639999999999999,0.3,10
586,F,0.565,0.45,0.165,0.887,0.37,0.239,0.249,11
587,M,0.585,0.455,0.15,0.987,0.4355,0.2075,0.31,11
590,I,0.555,0.43,0.155,0.7395,0.3135,0.1435,0.28,10
591,M,0.575,0.45,0.165,0.9655,0.498,0.19,0.23,8
594,F,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36,8
596,M,0.555,0.44,0.14,0.8705,0.407,0.156,0.255,9
598,F,0.65,0.505,0.175,1.2075,0.5105,0.262,0.39,10
600,M,0.635,0.48,0.19,1.467,0.5825,0.303,0.42,15
604,M,0.575,0.445,0.16,0.8390000000000001,0.4005,0.198,0.239,9
606,M,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,18
620,M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9
624,F,0.585,0.435,0.175,0.982,0.4055,0.2495,0.27,10
629,M,0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,16
634,I,0.515,0.4,0.12,0.659,0.2705,0.179,0.17,13
635,I,0.51,0.385,0.145,0.7665,0.3985,0.14,0.1805,8
639,M,0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34,15
641,M,0.555,0.45,0.145,0.915,0.4,0.246,0.285,11
642,M,0.495,0.39,0.15,0.853,0.3285,0.1889999999999999,0.27,14
644,F,0.64,0.515,0.165,1.3115,0.4945,0.2555,0.41,10
645,F,0.575,0.45,0.16,1.068,0.556,0.214,0.2575,10
646,M,0.63,0.495,0.16,1.093,0.497,0.221,0.315,12
647,M,0.685,0.51,0.18,1.4545,0.6315,0.3105,0.3725,9
648,M,0.66,0.515,0.195,1.5655,0.7345,0.353,0.386,9
651,I,0.575,0.455,0.16,0.9895,0.495,0.195,0.246,9
654,F,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,15
655,M,0.65,0.5,0.14,1.238,0.6165,0.2355,0.32,8
656,I,0.65,0.52,0.15,1.238,0.5495,0.296,0.3305,10
657,F,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,9
659,I,0.62,0.48,0.18,1.1305,0.5285,0.2655,0.306,12
660,M,0.675,0.525,0.16,1.2835,0.5720000000000001,0.2755,0.3545,13
664,F,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15
667,M,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,20
668,M,0.565,0.44,0.115,0.9185,0.4039999999999999,0.1785,0.29,11
671,F,0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,7
672,M,0.6,0.475,0.155,1.1385,0.502,0.2295,0.31,9
673,F,0.66,0.505,0.185,1.528,0.69,0.3025,0.441,11
676,M,0.595,0.46,0.17,1.1295,0.57,0.2555,0.265,10
677,I,0.55,0.42,0.155,0.912,0.495,0.1805,0.205,9
679,M,0.585,0.45,0.175,1.1275,0.4925,0.262,0.335,11
681,F,0.575,0.42,0.135,0.857,0.461,0.147,0.2125,10
682,F,0.53,0.395,0.145,0.775,0.308,0.1689999999999999,0.255,7
685,M,0.56,0.45,0.145,0.894,0.3885,0.2095,0.264,9
693,F,0.545,0.445,0.15,0.8,0.3535,0.163,0.207,9
695,M,0.59,0.44,0.15,0.9555,0.366,0.2425,0.295,11
697,F,0.64,0.5,0.18,1.4995,0.593,0.314,0.431,11
698,M,0.55,0.435,0.145,0.843,0.3279999999999999,0.1915,0.255,15
699,F,0.595,0.475,0.16,1.1405,0.547,0.231,0.271,6
703,M,0.645,0.515,0.16,1.1845,0.506,0.311,0.335,9
704,I,0.605,0.435,0.13,0.9025,0.432,0.174,0.26,11
706,F,0.58,0.475,0.155,0.974,0.4305,0.23,0.285,10
707,F,0.64,0.52,0.175,1.248,0.4245,0.2595,0.48,12
710,M,0.515,0.4,0.14,0.7365,0.2955,0.184,0.185,16
712,M,0.675,0.515,0.15,1.3119999999999998,0.556,0.2845,0.4115,11
717,M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13
718,M,0.5,0.385,0.12,0.6335,0.2305,0.125,0.235,14
721,M,0.55,0.45,0.175,1.0985,0.3765,0.215,0.4,14
722,M,0.615,0.47,0.175,1.242,0.5675,0.287,0.317,11
725,M,0.56,0.44,0.16,1.1115,0.5035,0.2785,0.26,10
726,M,0.51,0.395,0.145,0.6185,0.216,0.1385,0.24,12
729,F,0.61,0.495,0.175,1.2635,0.53,0.315,0.3455,10
736,F,0.6,0.485,0.165,1.1405,0.5870000000000001,0.2175,0.288,9
737,F,0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675,10
738,M,0.6,0.47,0.13,1.0105,0.423,0.2189999999999999,0.298,9
744,M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10
747,M,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13
748,F,0.58,0.425,0.15,0.8440000000000001,0.3645,0.185,0.2705,9
753,M,0.615,0.495,0.2,1.219,0.564,0.2269999999999999,0.3885,10
754,M,0.505,0.4,0.125,0.77,0.2735,0.159,0.255,13
757,M,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,9
758,M,0.57,0.47,0.155,1.186,0.6355,0.2315,0.2769999999999999,10
759,F,0.675,0.52,0.175,1.494,0.7365,0.3055,0.37,9
760,M,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,8
765,M,0.65,0.52,0.175,1.2655,0.615,0.2775,0.336,9
775,M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15
778,F,0.57,0.435,0.14,0.8085,0.3235,0.183,0.22,16
779,I,0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,15
780,F,0.55,0.45,0.15,0.875,0.362,0.1755,0.2765,10
782,F,0.635,0.49,0.175,1.2435,0.5805,0.313,0.305,10
783,M,0.565,0.445,0.145,0.9255,0.4345,0.212,0.2475,9
786,M,0.645,0.51,0.19,1.4745,0.605,0.345,0.48,9
787,M,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,10
792,M,0.615,0.455,0.15,0.9335,0.382,0.247,0.2615,10
795,F,0.595,0.435,0.15,0.9,0.4175,0.17,0.265,8
802,I,0.56,0.445,0.165,0.8320000000000001,0.3455,0.179,0.2789999999999999,9
805,F,0.49,0.38,0.145,0.6725,0.249,0.181,0.21,10
811,M,0.57,0.415,0.13,0.88,0.4275,0.1955,0.238,13
812,F,0.64,0.475,0.19,1.151,0.4365,0.281,0.3805,13
820,F,0.69,0.55,0.18,1.659,0.8715,0.2655,0.4395,9
821,M,0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735,10
824,M,0.6,0.475,0.19,1.0875,0.4029999999999999,0.2655,0.325,14
828,M,0.545,0.42,0.13,0.879,0.374,0.1695,0.23,13
829,F,0.55,0.415,0.135,0.775,0.302,0.179,0.26,23
830,F,0.61,0.47,0.165,1.1785,0.5660000000000001,0.2785,0.294,11
831,F,0.53,0.405,0.15,0.889,0.4055,0.2275,0.215,8
832,F,0.635,0.505,0.17,1.2635,0.512,0.322,0.355,9
833,M,0.635,0.5,0.18,1.2915,0.594,0.2695,0.37,9
835,M,0.53,0.415,0.12,0.706,0.3355,0.1635,0.1345,9
836,F,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,13
838,F,0.635,0.485,0.165,1.2695,0.5635,0.3065,0.3395,11
840,F,0.56,0.435,0.185,1.106,0.422,0.2435,0.33,15
848,I,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,9
850,I,0.545,0.42,0.125,0.7170000000000001,0.358,0.1119999999999999,0.22,8
851,M,0.61,0.49,0.16,1.112,0.465,0.228,0.341,10
852,I,0.52,0.395,0.145,0.77,0.424,0.142,0.1895,7
854,M,0.63,0.485,0.165,1.233,0.6565,0.2315,0.3035,10
855,F,0.64,0.49,0.18,1.36,0.653,0.347,0.305,9
857,I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8
858,M,0.6,0.475,0.17,1.1315,0.508,0.272,0.309,10
860,F,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,9
862,F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14
864,F,0.71,0.56,0.18,1.652,0.735,0.381,0.4525,11
