,Constant,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,y_pred,y_act
354,1.0,0.35233,0.0,21.89,0,0.624,6.454,98.4,1.8498,4,437,21.2,394.08,14.59,21.594583430195897,17.1
357,1.0,0.2896,0.0,9.69,0,0.585,5.39,72.9,2.7986,6,391,19.2,396.9,21.14,15.042157194951601,19.7
361,1.0,2.44953,0.0,19.58,0,0.605,6.402,95.2,2.2625,5,403,14.7,330.04,11.32,28.50017514284308,22.3
367,1.0,0.25356,0.0,9.9,0,0.544,5.705,77.7,3.945,4,304,18.4,396.42,11.5,16.22051473536913,16.2
371,1.0,0.6379600000000001,0.0,8.14,0,0.5379999999999999,6.096,84.5,4.4619,4,307,21.0,380.02,10.26,18.026194820019207,18.2
373,1.0,0.22438,0.0,9.69,0,0.585,6.027,79.7,2.4982,6,391,19.2,396.9,14.33,22.032021727661366,16.8
374,1.0,0.95577,0.0,8.14,0,0.5379999999999999,6.047000000000001,88.8,4.4534,4,307,21.0,306.38,17.28,15.111267922682762,14.8
379,1.0,2.37934,0.0,19.58,0,0.871,6.13,100.0,1.4191,5,403,14.7,172.91,27.8,17.139276460540408,13.8
387,1.0,1.12658,0.0,19.58,1,0.871,5.012,88.0,1.6102,5,403,14.7,343.28,12.12,13.91555941952416,15.3
390,1.0,0.67191,0.0,8.14,0,0.5379999999999999,5.813,90.3,4.682,4,307,21.0,376.88,14.81,13.800781450949048,16.6
396,1.0,2.24236,0.0,19.58,0,0.605,5.854,91.8,2.422,5,403,14.7,395.11,11.64,24.283225633550693,22.7
398,1.0,0.40202,0.0,9.9,0,0.544,6.382000000000001,67.2,3.5325,4,304,18.4,395.21,10.36,23.890385833749246,23.1
402,1.0,0.54452,0.0,21.89,0,0.624,6.151,97.9,1.6687,4,437,21.2,396.9,18.46,18.684243738937226,17.8
410,1.0,0.8520399999999999,0.0,8.14,0,0.5379999999999999,5.965,89.2,4.0123,4,307,21.0,392.53,13.83,16.882790010027666,19.6
411,1.0,1.22358,0.0,19.58,0,0.605,6.943,97.4,1.8773,5,403,14.7,363.43,4.59,33.80674985697199,41.3
414,1.0,0.98843,0.0,8.14,0,0.5379999999999999,5.813,100.0,4.0952,4,307,21.0,394.54,19.88,13.530678569289073,14.5
417,1.0,0.62739,0.0,8.14,0,0.5379999999999999,5.834,56.5,4.4986,4,307,21.0,395.62,8.47,18.234983796280606,19.9
420,1.0,0.10153,0.0,12.83,0,0.437,6.279,74.5,4.0522,5,398,18.7,373.66,11.97,21.31867523733841,20.0
421,1.0,0.17331,0.0,9.69,0,0.585,5.707000000000001,54.0,2.3817,6,391,19.2,396.9,12.01,21.638251002528545,21.8
426,1.0,2.14918,0.0,19.58,0,0.871,5.709,98.5,1.6232,5,403,14.7,261.95,15.79,17.005247711322053,19.4
428,1.0,1.49632,0.0,19.58,0,0.871,5.404,100.0,1.5916,5,403,14.7,341.6,13.28,15.0369793549268,19.6
437,1.0,0.97617,0.0,21.89,0,0.624,5.757000000000001,98.4,2.346,4,437,21.2,262.76,17.31,13.246945812786302,15.6
438,1.0,1.2324700000000002,0.0,8.14,0,0.5379999999999999,6.142,91.7,3.9769,4,307,21.0,396.9,18.72,17.800048951737807,15.2
447,1.0,0.3692,0.0,9.9,0,0.544,6.567,87.3,3.6023,4,304,18.4,395.69,9.28,24.23127018828662,23.8
454,1.0,0.2221199999999999,0.0,10.01,0,0.547,6.0920000000000005,95.4,2.548,6,432,17.8,396.9,17.09,17.6253326758825,18.7
